o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
PICKUP PLACE_0_0 KEY_0,0.25,0.22,0.43,0.36,0.41,0.34,6.0,8.0,0.2,0.21,0.0,0.25,2.0,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.22,0.71,0.35,0.64,0.41,0.24,7.0,9.0,0.33,0.31,0.14,0.33,2.0,N
PICKUP PLACE_0_0 KEY_1,0.2,0.68,0.28,0.65,0.32,0.2,8.0,10.0,0.43,0.39,0.31,0.4,2.0,N
MOVE PLACE_0_0 PLACE_1_0,0.12,0.25,0.28,0.32,0.36,0.26,8.0,10.0,0.43,0.44,0.31,0.45,2.0,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.11,0.53,0.24,0.52,0.34,0.21,9.0,11.0,0.38,0.45,0.44,0.5,2.0,N
MOVE PLACE_1_0 PLACE_2_0,0.15,0.17,0.27,0.23,0.34,0.24,9.0,11.0,0.25,0.45,0.33,0.55,2.0,N
MOVE PLACE_2_0 PLACE_3_0,0.09,0.37,0.33,0.33,0.39,0.27,9.0,12.0,0.25,0.45,0.33,0.54,2.0,N
MOVE PLACE_3_0 PLACE_3_1,0.09,0.21,0.36,0.21,0.47,0.28,9.0,12.0,0.12,0.32,0.22,0.42,1.0,Y
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.17,0.2,0.32,0.21,0.4,0.35,9.0,12.0,0.11,0.36,0.2,0.46,1.0,Y
MOVE PLACE_3_1 PLACE_3_2,0.0,0.13,0.27,0.24,0.35,0.35,9.0,12.0,0.41,0.41,0.5,0.5,2.0,N
MOVE PLACE_3_2 PLACE_3_3,0.13,0.27,0.19,0.24,0.32,0.35,9.0,12.0,0.46,0.27,0.54,0.33,2.0,N
