o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
PICKUP PLACE_0_0 KEY_1,0.5,0.05,0.03,1.52,6,8,1.0,N
PICKUP PLACE_0_0 KEY_0,0.5,0.06,0.07,1.49,5,8,1.0,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.5,0.08,0.2,1.38,5,7,1.0,N
MOVE PLACE_0_0 PLACE_1_0,0.33,0.11,0.09,1.35,4,6,0.0,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.33,0.17,0.17,1.33,3,5,0.0,N
MOVE PLACE_1_0 PLACE_2_0,0.33,0.33,0.08,1.58,2,4,0.0,N
MOVE PLACE_2_0 PLACE_2_1,0.5,0.25,0.12,1.63,3,3,0.0,N
MOVE PLACE_2_1 PLACE_2_2,0.33,0.33,0.17,1.49,4,2,0.0,N
MOVE PLACE_2_2 PLACE_2_3,0.33,0.08,0.33,1.08,5,1,0.0,N
MOVE PLACE_2_3 PLACE_3_3,1.0,0.0,1.0,1.0,-1,0,0.0,N
