o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
PICKUP PLACE_0_0 KEY_1,0.5,0.56,0.62,0.52,0.67,0.41,3.0,6.0,0.0,0.0,0.0,0.0,0.5,N
MOVE PLACE_0_0 PLACE_1_0,0.5,0.68,0.64,0.65,0.71,0.44,3.0,6.0,0.0,0.0,0.0,0.08,1.0,Y
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.5,0.25,0.48,0.33,0.67,0.45,3.0,6.0,0.0,0.0,0.0,0.0,1.0,Y
MOVE PLACE_1_0 PLACE_2_0,0.29,0.67,0.4,0.64,0.45,0.37,3.0,8.0,0.0,0.21,0.0,0.38,0.5,N
MOVE PLACE_2_0 PLACE_3_0,0.11,0.48,0.28,0.5,0.37,0.31,3.0,10.0,0.29,0.39,0.25,0.5,0.5,N
MOVE PLACE_3_0 PLACE_3_1,0.0,0.43,0.25,0.46,0.31,0.24,3.0,12.0,0.5,0.5,0.45,0.54,0.5,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.0,0.47,0.22,0.41,0.29,0.15,3.0,13.0,0.45,0.62,0.55,0.62,0.5,N
MOVE PLACE_3_1 PLACE_3_2,0.4,0.27,0.3,0.32,0.26,0.25,3.0,13.0,0.5,0.5,0.58,0.58,0.5,N
MOVE PLACE_3_2 PLACE_3_3,0.33,0.25,0.32,0.29,0.13,0.25,3.0,13.0,0.57,0.54,0.63,0.62,0.5,N
MOVE PLACE_3_3 PLACE_2_3,0.24,0.25,0.29,0.31,0.13,0.25,3.0,13.0,0.57,0.58,0.63,0.65,0.5,N
MOVE PLACE_2_3 PLACE_2_2,0.32,0.25,0.32,0.23,0.22,0.25,3.0,13.0,0.61,0.46,0.67,0.54,0.5,N
MOVE PLACE_2_2 PLACE_1_2,0.03,0.29,0.18,0.23,0.22,0.33,3.0,13.0,0.5,0.5,0.57,0.54,0.5,N
