o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
PICKUP PLACE_0_0 KEY_1,0.5,0.28,0.08,1.7000000000000002,3,11,1.0,N
MOVE PLACE_0_0 PLACE_1_0,0.33,1.0,0.0,2.33,0,-1,0.0,Y
MOVE PLACE_1_0 PLACE_2_0,0.33,0.29,0.13,1.49,3,7,0.0,N
MOVE PLACE_2_0 PLACE_2_1,0.5,0.21,0.1,1.6099999999999999,4,6,0.0,N
MOVE PLACE_2_1 PLACE_2_2,0.33,0.22,0.14,1.4100000000000001,6,5,0.0,N
MOVE PLACE_2_2 PLACE_2_3,0.33,0.17,0.21,1.29,6,4,0.0,N
MOVE PLACE_2_3 PLACE_3_3,1.0,0.62,0.25,2.37,6,4,0.0,N
UNLOCK PLACE_3_3 PLACE_3_2 KEY_1 SHAPE_1,0.5,0.62,0.25,1.87,5,3,0.0,N
MOVE PLACE_3_3 PLACE_2_3,0.33,0.08,0.33,1.08,4,2,0.0,N
MOVE PLACE_2_3 PLACE_1_3,0.33,0.08,0.33,1.08,5,1,0.0,N
MOVE PLACE_1_3 PLACE_1_2,1.0,0.0,1.0,1.0,-1,0,0.0,N
