o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
PICKUP PLACE_0_0 KEY_1,0.5,0.56,0.62,0.52,0.67,0.41,3.0,6.0,0.0,0.0,0.0,0.0,0.5,N
MOVE PLACE_0_0 PLACE_1_0,0.5,0.68,0.64,0.65,0.71,0.44,3.0,6.0,0.0,0.0,0.0,0.08,1.0,Y
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.5,0.25,0.48,0.33,0.67,0.45,3.0,6.0,0.0,0.0,0.0,0.0,1.0,Y
MOVE PLACE_1_0 PLACE_2_0,0.29,0.67,0.4,0.64,0.45,0.37,3.0,8.0,0.0,0.21,0.0,0.38,0.5,N
MOVE PLACE_2_0 PLACE_2_1,0.2,0.36,0.31,0.31,0.37,0.37,3.0,8.0,0.29,0.29,0.44,0.44,0.5,N
MOVE PLACE_2_1 PLACE_2_2,0.43,0.36,0.47,0.35,0.31,0.37,3.0,8.0,0.39,0.07,0.5,0.25,0.5,N
MOVE PLACE_2_2 PLACE_2_3,0.29,0.31,0.38,0.42,0.16,0.31,3.0,10.0,0.45,0.44,0.54,0.55,0.5,N
MOVE PLACE_2_3 PLACE_3_3,0.25,0.21,0.35,0.3,0.14,0.23,3.0,12.0,0.58,0.55,0.61,0.62,0.5,N
UNLOCK PLACE_3_3 PLACE_3_2 KEY_1 SHAPE_1,0.31,0.25,0.34,0.32,0.13,0.25,3.0,13.0,0.57,0.54,0.63,0.62,0.5,N
MOVE PLACE_3_3 PLACE_2_3,0.24,0.25,0.31,0.33,0.13,0.25,3.0,13.0,0.57,0.58,0.63,0.65,0.5,N
MOVE PLACE_2_3 PLACE_1_3,0.12,0.13,0.16,0.25,0.23,0.25,3.0,13.0,0.61,0.46,0.67,0.54,0.5,N
MOVE PLACE_1_3 PLACE_1_2,0.0,0.24,0.19,0.25,0.22,0.33,3.0,13.0,0.5,0.5,0.57,0.54,0.5,N
