o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
PICKUP PLACE_0_0 KEY_0,0.5,0.73,0.64,0.82,0.67,0.3,3.0,7.0,0.0,0.0,0.0,0.21,0.5,N
PICKUP PLACE_0_0 KEY_1,0.46,0.4,0.54,0.33,0.58,0.36,4.0,7.0,0.0,0.0,0.0,0.14,0.5,N
MOVE PLACE_0_0 PLACE_1_0,0.43,0.57,0.54,0.55,0.62,0.4,4.0,7.0,0.0,0.08,0.0,0.29,1.0,Y
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.5,0.24,0.44,0.29,0.6,0.41,4.0,7.0,0.0,0.0,0.0,0.14,1.0,Y
MOVE PLACE_1_0 PLACE_2_0,0.25,0.62,0.35,0.58,0.4,0.34,4.0,9.0,0.0,0.31,0.14,0.44,0.5,N
MOVE PLACE_2_0 PLACE_2_1,0.18,0.33,0.28,0.28,0.34,0.34,4.0,9.0,0.38,0.38,0.39,0.5,0.5,N
MOVE PLACE_2_1 PLACE_2_2,0.4,0.33,0.43,0.32,0.29,0.34,4.0,9.0,0.45,0.19,0.55,0.33,0.5,N
MOVE PLACE_2_2 PLACE_2_3,0.27,0.29,0.35,0.38,0.15,0.29,4.0,11.0,0.5,0.5,0.58,0.59,0.5,N
MOVE PLACE_2_3 PLACE_3_3,0.24,0.2,0.32,0.27,0.13,0.21,4.0,13.0,0.61,0.58,0.63,0.65,0.5,N
UNLOCK PLACE_3_3 PLACE_3_2 KEY_1 SHAPE_1,0.32,0.24,0.33,0.29,0.13,0.24,4.0,14.0,0.6,0.58,0.66,0.64,0.5,N
MOVE PLACE_3_3 PLACE_2_3,0.22,0.24,0.29,0.31,0.13,0.24,4.0,14.0,0.6,0.62,0.66,0.68,0.5,N
MOVE PLACE_2_3 PLACE_1_3,0.11,0.12,0.16,0.23,0.22,0.24,4.0,14.0,0.63,0.5,0.69,0.57,0.5,N
MOVE PLACE_1_3 PLACE_1_2,0.0,0.22,0.18,0.23,0.21,0.32,4.0,14.0,0.6,0.54,0.62,0.57,0.5,N
