o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
PICKUP PLACE_0_0 KEY_1,0.5,0.56,0.62,0.52,0.67,0.41,3.0,6.0,0.0,0.0,0.0,0.0,0.5,N
MOVE PLACE_0_0 PLACE_1_0,0.5,0.68,0.64,0.65,0.71,0.44,3.0,6.0,0.0,0.0,0.0,0.08,1.0,Y
MOVE PLACE_1_0 PLACE_2_0,0.18,0.4,0.5,0.41,0.5,0.35,3.0,7.0,0.0,0.08,0.0,0.21,0.5,N
MOVE PLACE_2_0 PLACE_2_1,0.11,0.33,0.38,0.38,0.4,0.4,3.0,7.0,0.17,0.08,0.21,0.14,0.5,N
MOVE PLACE_2_1 PLACE_2_2,0.18,0.4,0.33,0.47,0.29,0.4,3.0,7.0,0.31,0.08,0.39,0.21,0.5,N
MOVE PLACE_2_2 PLACE_2_3,0.32,0.33,0.45,0.45,0.24,0.28,3.0,9.0,0.45,0.38,0.45,0.44,0.5,N
MOVE PLACE_2_3 PLACE_3_3,0.2,0.23,0.3,0.39,0.21,0.23,3.0,11.0,0.58,0.55,0.58,0.5,0.5,N
UNLOCK PLACE_3_3 PLACE_3_2 KEY_1 SHAPE_1,0.35,0.27,0.43,0.3,0.19,0.22,3.0,12.0,0.62,0.5,0.64,0.58,0.5,N
MOVE PLACE_3_3 PLACE_2_3,0.21,0.15,0.29,0.32,0.19,0.22,3.0,12.0,0.62,0.55,0.64,0.62,0.5,N
MOVE PLACE_2_3 PLACE_2_2,0.0,0.11,0.23,0.32,0.2,0.27,3.0,12.0,0.58,0.5,0.61,0.54,0.5,N
MOVE PLACE_2_2 PLACE_1_2,0.06,0.3,0.16,0.29,0.22,0.35,3.0,12.0,0.61,0.36,0.67,0.42,0.5,N
