o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
PICKUP PLACE_0_0 KEY_1,0.5,0.56,0.62,0.52,0.67,0.41,3.0,6.0,0.0,0.0,0.0,0.0,0.5,N
PICKUP PLACE_0_0 KEY_0,0.46,0.4,0.54,0.33,0.58,0.36,4.0,7.0,0.0,0.0,0.0,0.14,0.5,N
MOVE PLACE_0_0 PLACE_1_0,0.43,0.57,0.54,0.55,0.62,0.4,4.0,7.0,0.0,0.08,0.0,0.29,1.0,Y
MOVE PLACE_1_0 PLACE_2_0,0.14,0.36,0.43,0.35,0.45,0.32,4.0,8.0,0.0,0.21,0.08,0.31,0.5,N
MOVE PLACE_2_0 PLACE_3_0,0.1,0.31,0.29,0.26,0.37,0.26,4.0,10.0,0.29,0.33,0.25,0.4,0.5,N
MOVE PLACE_3_0 PLACE_3_1,0.0,0.44,0.26,0.54,0.29,0.23,4.0,12.0,0.56,0.5,0.45,0.54,0.5,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.0,0.51,0.23,0.52,0.29,0.15,4.0,13.0,0.5,0.54,0.59,0.62,0.5,N
MOVE PLACE_3_1 PLACE_3_0,0.0,0.29,0.23,0.29,0.29,0.21,4.0,13.0,0.5,0.5,0.55,0.58,0.5,N
MOVE PLACE_3_0 PLACE_2_0,0.0,0.25,0.26,0.22,0.29,0.21,4.0,13.0,0.45,0.54,0.5,0.58,0.5,N
MOVE PLACE_2_0 PLACE_1_0,0.04,0.24,0.29,0.34,0.33,0.24,4.0,14.0,0.4,0.58,0.45,0.64,1.0,Y
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.0,0.06,0.26,0.18,0.35,0.24,4.0,14.0,0.45,0.54,0.5,0.57,1.0,Y
MOVE PLACE_1_0 PLACE_1_1,0.0,0.12,0.21,0.23,0.28,0.32,4.0,14.0,0.54,0.5,0.57,0.57,0.5,N
MOVE PLACE_1_1 PLACE_1_2,0.0,0.22,0.16,0.21,0.21,0.32,4.0,14.0,0.6,0.54,0.62,0.57,0.5,N
