o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
PICKUP PLACE_0_0 KEY_1,0.5,0.28,0.08,1.7000000000000002,3,11,1.0,N
PICKUP PLACE_0_0 KEY_0,0.5,0.37,0.16,1.71,2,10,1.0,N
MOVE PLACE_0_0 PLACE_1_0,0.33,1.0,0.0,2.33,0,-1,0.0,Y
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.33,1.0,0.0,2.33,0,-1,0.0,Y
MOVE PLACE_1_0 PLACE_2_0,0.33,0.25,0.23,1.35,4,7,0.0,N
MOVE PLACE_2_0 PLACE_3_0,0.5,0.25,0.25,1.5,4,6,0.0,N
MOVE PLACE_3_0 PLACE_3_1,0.5,0.25,0.25,1.5,4,6,0.0,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.5,0.5,0.5,1.5,3,5,0.0,N
MOVE PLACE_3_1 PLACE_3_2,0.5,0.25,0.19,1.56,4,6,0.0,N
MOVE PLACE_3_2 PLACE_3_3,0.5,0.0,0.18,1.32,-1,5,0.0,N
MOVE PLACE_3_3 PLACE_2_3,0.33,0.0,0.24,1.09,-1,4,0.0,N
MOVE PLACE_2_3 PLACE_1_3,0.33,0.0,0.21,1.12,-1,4,0.0,N
MOVE PLACE_1_3 PLACE_1_2,1.0,0.0,1.0,1.0,-1,0,0.0,N
