o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
PICKUP PLACE_0_0 KEY_1,0.5,0.28,0.08,1.7000000000000002,3,11,1.0,N
PICKUP PLACE_0_0 KEY_0,0.5,0.37,0.16,1.71,2,10,1.0,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.5,0.5,0.31,1.69,1,9,1.0,N
MOVE PLACE_0_0 PLACE_1_0,0.33,1.0,0.0,2.33,0,-1,0.0,Y
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.33,1.0,0.0,2.33,0,-1,0.0,Y
MOVE PLACE_1_0 PLACE_2_0,0.33,0.21,0.32,1.22,4,8,0.0,N
MOVE PLACE_2_0 PLACE_3_0,0.5,0.19,0.34,1.3499999999999999,4,7,0.0,N
MOVE PLACE_3_0 PLACE_3_1,0.5,0.19,0.34,1.3499999999999999,4,6,0.0,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.5,0.25,0.75,1.0,3,5,0.0,N
MOVE PLACE_3_1 PLACE_3_0,0.5,0.25,0.38,1.37,2,4,0.0,N
MOVE PLACE_3_0 PLACE_2_0,0.33,0.33,0.33,1.33,1,3,0.0,N
MOVE PLACE_2_0 PLACE_2_1,0.5,0.0,0.25,1.25,-1,2,0.0,N
MOVE PLACE_2_1 PLACE_2_2,0.33,0.0,0.33,1.0,-1,1,0.0,N
MOVE PLACE_2_2 PLACE_1_2,1.0,0.0,1.0,1.0,-1,0,0.0,N
