o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
PICKUP PLACE_0_0 KEY_0,0.5,0.73,0.64,0.82,0.67,0.3,3.0,7.0,0.0,0.0,0.0,0.21,0.5,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.43,0.79,0.46,0.75,0.58,0.26,4.0,8.0,0.0,0.21,0.0,0.31,0.5,N
PICKUP PLACE_0_0 KEY_1,0.38,0.62,0.44,0.57,0.56,0.32,5.0,8.0,0.0,0.14,0.0,0.31,0.5,N
MOVE PLACE_0_0 PLACE_1_0,0.4,0.6,0.44,0.5,0.56,0.36,5.0,8.0,0.0,0.21,0.0,0.38,1.0,Y
MOVE PLACE_1_0 PLACE_2_0,0.22,0.33,0.35,0.3,0.4,0.29,5.0,9.0,0.08,0.31,0.21,0.44,0.5,N
MOVE PLACE_2_0 PLACE_3_0,0.09,0.29,0.25,0.23,0.34,0.24,5.0,11.0,0.38,0.4,0.33,0.45,0.5,N
MOVE PLACE_3_0 PLACE_3_1,0.0,0.41,0.23,0.48,0.29,0.22,5.0,13.0,0.6,0.54,0.5,0.58,0.5,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.0,0.49,0.2,0.47,0.27,0.14,5.0,14.0,0.55,0.58,0.58,0.64,0.5,N
MOVE PLACE_3_1 PLACE_3_2,0.03,0.24,0.18,0.24,0.24,0.19,5.0,14.0,0.54,0.54,0.61,0.61,0.5,N
MOVE PLACE_3_2 PLACE_3_3,0.35,0.24,0.36,0.27,0.17,0.19,5.0,14.0,0.67,0.58,0.69,0.64,0.5,N
MOVE PLACE_3_3 PLACE_2_3,0.31,0.24,0.31,0.26,0.17,0.19,5.0,14.0,0.67,0.62,0.69,0.68,0.5,N
MOVE PLACE_2_3 PLACE_2_2,0.0,0.24,0.17,0.24,0.18,0.24,5.0,14.0,0.63,0.58,0.69,0.61,0.5,N
MOVE PLACE_2_2 PLACE_1_2,0.11,0.27,0.14,0.21,0.2,0.32,5.0,14.0,0.59,0.46,0.62,0.5,0.5,N
