ob,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
PICKUP PLACE_0_0 KEY_0,0.73,0.33,0.82,0.31,0.3,0.36,7.0,7.0,0.0,0.08,0.21,0.21,2.0,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.79,0.4,0.75,0.29,0.26,0.4,8.0,7.0,0.21,0.0,0.31,0.21,2.0,N
PICKUP PLACE_0_0 KEY_1,0.62,0.78,0.57,0.68,0.32,0.32,8.0,8.0,0.14,0.14,0.31,0.31,2.0,N
MOVE PLACE_0_0 PLACE_1_0,0.6,0.64,0.5,0.61,0.36,0.3,8.0,9.0,0.21,0.25,0.38,0.33,2.0,N
MOVE PLACE_1_0 PLACE_2_0,0.33,0.33,0.3,0.42,0.29,0.26,9.0,10.0,0.31,0.44,0.44,0.5,2.0,N
MOVE PLACE_2_0 PLACE_2_1,0.27,0.31,0.28,0.26,0.34,0.26,9.0,10.0,0.31,0.39,0.33,0.5,2.0,N
MOVE PLACE_2_1 PLACE_2_2,0.33,0.32,0.35,0.42,0.34,0.31,9.0,10.0,0.31,0.44,0.39,0.55,2.0,N
MOVE PLACE_2_2 PLACE_2_3,0.29,0.28,0.38,0.22,0.24,0.31,11.0,10.0,0.5,0.39,0.55,0.45,2.0,N
MOVE PLACE_2_3 PLACE_3_3,0.2,0.14,0.29,0.2,0.2,0.27,13.0,12.0,0.62,0.59,0.58,0.58,2.0,N
UNLOCK PLACE_3_3 PLACE_3_2 KEY_1 SHAPE_1,0.24,0.13,0.29,0.17,0.19,0.25,14.0,13.0,0.58,0.54,0.64,0.58,2.0,N
MOVE PLACE_3_3 PLACE_2_3,0.16,0.14,0.28,0.17,0.19,0.25,14.0,13.0,0.62,0.54,0.68,0.58,2.0,N
MOVE PLACE_2_3 PLACE_1_3,0.15,0.14,0.25,0.24,0.24,0.29,14.0,13.0,0.58,0.5,0.64,0.54,2.0,N
PICKUP PLACE_0_0 KEY_1,0.56,0.75,0.52,0.79,0.41,0.36,6.0,7.0,0.0,0.08,0.0,0.21,2.0,N
PICKUP PLACE_0_0 KEY_0,0.4,0.86,0.33,0.82,0.36,0.27,7.0,8.0,0.0,0.21,0.14,0.31,2.0,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.62,0.78,0.57,0.68,0.32,0.32,8.0,8.0,0.14,0.14,0.31,0.31,2.0,N
MOVE PLACE_0_0 PLACE_1_0,0.6,0.64,0.5,0.61,0.36,0.3,8.0,9.0,0.21,0.25,0.38,0.33,2.0,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.28,0.4,0.25,0.35,0.37,0.34,8.0,9.0,0.0,0.31,0.19,0.44,2.0,N
MOVE PLACE_1_0 PLACE_2_0,0.57,0.45,0.51,0.46,0.31,0.18,10.0,11.0,0.39,0.4,0.5,0.5,2.0,N
MOVE PLACE_2_0 PLACE_2_1,0.31,0.29,0.24,0.28,0.31,0.29,10.0,11.0,0.44,0.45,0.55,0.55,2.0,N
MOVE PLACE_2_1 PLACE_2_2,0.31,0.31,0.27,0.36,0.31,0.29,10.0,11.0,0.28,0.5,0.4,0.59,2.0,N
MOVE PLACE_2_2 PLACE_2_3,0.27,0.22,0.33,0.19,0.27,0.29,12.0,11.0,0.55,0.45,0.62,0.5,2.0,N
MOVE PLACE_2_3 PLACE_3_3,0.19,0.13,0.24,0.17,0.2,0.25,14.0,13.0,0.62,0.58,0.68,0.54,2.0,N
UNLOCK PLACE_3_3 PLACE_3_2 KEY_1 SHAPE_1,0.22,0.12,0.26,0.15,0.23,0.24,15.0,14.0,0.61,0.54,0.67,0.57,2.0,N
