ob,c,r,d,fo,0.0<=x<0.0,0.0<=x<0.1,0.1<=x<0.2,0.2<=x<0.3,0.3<=x<0.4,0.4<=x<0.5,0.5<=x<0.6,0.6<=x<0.7,0.7<=x<0.8,0.8<=x<0.9,0.9<=x<1.0,1.0<=x<1.1,dToCritical,dToDesirable,hasLM,Label
PICKUP PLACE_0_0 KEY_1,0.5,0.05,0.04,1.51,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,6,10,0.67,N
MOVE PLACE_0_0 PLACE_1_0,0.33,0.06,0.04,1.35,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,6,11,0.33,N
MOVE PLACE_1_0 PLACE_2_0,0.33,0.06,0.05,1.3399999999999999,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,9,12,0.33,N
MOVE PLACE_2_0 PLACE_2_1,0.5,0.05,0.03,1.52,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,9,13,0.33,N
MOVE PLACE_2_1 PLACE_2_2,0.33,0.12,0.05,1.4,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,9,14,0.33,N
MOVE PLACE_2_2 PLACE_2_3,0.33,0.02,0.05,1.3,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,12,13,0.33,N
MOVE PLACE_2_3 PLACE_1_3,1.0,0.0,1.0,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0,-1,0,0.33,N
PICKUP PLACE_0_0 KEY_1,0.5,0.05,0.04,1.51,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,6,10,0.67,N
PICKUP PLACE_0_0 KEY_0,0.5,0.06,0.06,1.5,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,5,10,0.67,N
MOVE PLACE_0_0 PLACE_1_0,0.33,0.08,0.06,1.35,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,5,10,0.33,N
MOVE PLACE_1_0 PLACE_2_0,0.33,0.08,0.08,1.33,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,8,11,0.33,N
MOVE PLACE_2_0 PLACE_2_1,0.5,0.08,0.06,1.52,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,8,12,0.33,N
