o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
SAIL L4 L1,0.25,0.0,0.0,1.25,-1,11,0.6,N
BOARD C1 L1,0.33,0.0,0.0,1.33,-1,13,0.4,N
SAIL L1 L3,0.33,0.05,0.0,1.38,6,13,0.2,N
DEBARK C1 L3,0.33,0.0,0.0,1.33,-1,11,0.4,N
SAIL L3 L1,0.33,0.0,0.0,1.33,-1,9,0.6,N
BOARD C2 L1,0.33,0.0,0.01,1.32,-1,8,0.4,N
SAIL L1 L2,0.33,0.0,0.01,1.32,-1,8,0.2,N
SAIL L2 L3,0.5,0.5,0.01,1.99,1,4,0.2,N
DEBARK C2 L3,0.25,0.01,0.0,1.26,11,17,0.2,N
BOARD C1 L3,0.33,0.05,0.0,1.38,10,16,0.0,N
SAIL L3 L2,0.33,0.05,0.01,1.37,9,15,0.0,N
DEBARK C1 L2,1.0,0.0,1.0,1.0,-1,0,0.2,N
