o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
SAIL L4 L1,0.5,0.2,0.3,0.21,0.52,0.31,4.0,9.0,0.0,0.06,0.25,0.39,0.75,N
BOARD C1 L1,0.38,0.2,0.27,0.22,0.39,0.23,6.0,9.0,0.2,0.19,0.25,0.44,0.75,N
SAIL L1 L3,0.33,0.18,0.33,0.11,0.29,0.21,8.0,10.0,0.36,0.44,0.5,0.5,1.25,N
DEBARK C1 L3,0.22,0.15,0.24,0.12,0.3,0.22,8.0,12.0,0.5,0.32,0.44,0.54,1.25,N
SAIL L3 L1,0.11,0.15,0.18,0.08,0.31,0.18,8.0,12.0,0.5,0.45,0.62,0.58,0.75,N
BOARD C2 L1,0.22,0.15,0.28,0.08,0.31,0.18,8.0,12.0,0.36,0.77,0.5,0.83,1.0,N
SAIL L1 L3,0.2,0.15,0.26,0.12,0.28,0.18,9.0,12.0,0.44,0.68,0.56,0.75,1.0,N
DEBARK C2 L3,0.08,0.15,0.13,0.15,0.24,0.18,11.0,12.0,0.65,0.68,0.73,0.75,1.25,N
BOARD C1 L3,0.14,0.08,0.11,0.12,0.21,0.18,13.0,12.0,0.67,0.68,0.65,0.75,1.25,N
SAIL L3 L2,0.12,0.08,0.1,0.12,0.16,0.21,15.0,12.0,0.68,0.73,0.73,0.75,1.25,N
DEBARK C1 L2,0.06,0.08,0.13,0.12,0.17,0.21,15.0,12.0,0.75,0.64,0.7,0.67,1.25,N
