o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
PICKUP PLACE_0_0 KEY_0,0.33,0.29,0.56,0.46,0.57,0.46,4.0,5.0,0.0,0.0,0.0,0.0,2.0,N
PICKUP PLACE_0_0 KEY_1,0.29,0.25,0.44,0.36,0.5,0.42,5.0,6.0,0.0,0.2,0.0,0.08,2.0,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.33,0.22,0.35,0.29,0.44,0.4,6.0,7.0,0.0,0.17,0.08,0.14,2.0,N
MOVE PLACE_0_0 PLACE_0_1,0.2,0.18,0.28,0.25,0.36,0.33,8.0,9.0,0.21,0.31,0.31,0.44,2.0,N
MOVE PLACE_0_1 PLACE_0_2,0.22,0.17,0.24,0.22,0.31,0.27,10.0,11.0,0.33,0.4,0.45,0.5,2.0,N
MOVE PLACE_0_2 PLACE_0_3,0.53,0.57,0.54,0.57,0.22,0.18,12.0,13.0,0.5,0.5,0.54,0.54,2.0,N
MOVE PLACE_0_3 PLACE_1_3,0.27,0.5,0.26,0.57,0.23,0.21,12.0,13.0,0.45,0.5,0.54,0.5,2.0,N
MOVE PLACE_1_3 PLACE_2_3,0.14,0.13,0.19,0.17,0.27,0.25,12.0,13.0,0.5,0.54,0.58,0.62,2.0,N
MOVE PLACE_2_3 PLACE_3_3,0.16,0.24,0.21,0.25,0.2,0.24,14.0,14.0,0.54,0.54,0.57,0.57,2.0,N
UNLOCK PLACE_3_3 PLACE_3_2 KEY_1 SHAPE_1,0.41,0.13,0.43,0.21,0.22,0.24,15.0,14.0,0.57,0.42,0.63,0.5,2.0,N
MOVE PLACE_3_3 PLACE_3_2,0.12,0.12,0.19,0.27,0.22,0.32,15.0,14.0,0.54,0.46,0.57,0.54,2.0,N
MOVE PLACE_3_2 PLACE_3_1,0.17,0.12,0.2,0.27,0.23,0.32,15.0,14.0,0.5,0.5,0.57,0.57,2.0,N
MOVE PLACE_3_1 PLACE_3_0,0.17,0.24,0.2,0.27,0.26,0.32,15.0,14.0,0.54,0.46,0.6,0.5,2.0,N
