o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
PICKUP PLACE_0_0 KEY_1,0.33,0.29,0.55,0.44,0.57,0.46,4.0,5.0,0.0,0.0,0.0,0.0,2.0,N
PICKUP PLACE_0_0 KEY_0,0.29,0.25,0.44,0.36,0.5,0.42,5.0,6.0,0.0,0.2,0.0,0.08,2.0,N
MOVE PLACE_0_0 PLACE_1_0,0.31,0.25,0.46,0.36,0.5,0.45,5.0,6.0,0.0,0.0,0.0,0.0,2.0,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.31,0.22,0.38,0.29,0.45,0.4,6.0,7.0,0.0,0.17,0.0,0.14,2.0,N
MOVE PLACE_1_0 PLACE_2_0,0.4,0.24,0.39,0.33,0.55,0.45,6.0,7.0,0.0,0.0,0.0,0.14,1.0,Y
MOVE PLACE_2_0 PLACE_2_1,0.28,0.17,0.33,0.3,0.42,0.34,6.0,9.0,0.07,0.25,0.25,0.33,2.0,N
MOVE PLACE_2_1 PLACE_2_2,0.17,0.15,0.3,0.2,0.31,0.29,6.0,11.0,0.22,0.5,0.35,0.59,2.0,N
MOVE PLACE_2_2 PLACE_2_3,0.24,0.17,0.26,0.25,0.27,0.25,6.0,13.0,0.5,0.54,0.58,0.62,2.0,N
MOVE PLACE_2_3 PLACE_3_3,0.16,0.33,0.25,0.33,0.2,0.24,6.0,14.0,0.58,0.58,0.64,0.64,2.0,N
UNLOCK PLACE_3_3 PLACE_3_2 KEY_1 SHAPE_1,0.23,0.12,0.34,0.22,0.22,0.24,6.0,14.0,0.57,0.42,0.63,0.5,2.0,N
MOVE PLACE_3_3 PLACE_3_2,0.0,0.12,0.19,0.28,0.22,0.32,6.0,14.0,0.61,0.46,0.67,0.54,2.0,N
MOVE PLACE_3_2 PLACE_3_1,0.0,0.12,0.21,0.28,0.23,0.32,6.0,14.0,0.57,0.5,0.6,0.57,2.0,N
MOVE PLACE_3_1 PLACE_3_0,0.0,0.12,0.21,0.28,0.3,0.32,6.0,14.0,0.54,0.38,0.6,0.43,2.0,N
