o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
PICKUP PLACE_0_0 KEY_0,0.33,0.29,0.56,0.46,0.57,0.46,4.0,5.0,0.0,0.0,0.0,0.0,2.0,N
PICKUP PLACE_0_0 KEY_1,0.29,0.25,0.44,0.36,0.5,0.42,5.0,6.0,0.0,0.2,0.0,0.08,2.0,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.33,0.22,0.35,0.29,0.44,0.4,6.0,7.0,0.0,0.17,0.08,0.14,2.0,N
MOVE PLACE_0_0 PLACE_1_0,0.31,0.22,0.38,0.29,0.45,0.4,6.0,7.0,0.0,0.17,0.08,0.14,2.0,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.36,0.2,0.32,0.25,0.4,0.37,7.0,8.0,0.0,0.14,0.14,0.25,2.0,N
MOVE PLACE_1_0 PLACE_2_0,0.36,0.21,0.33,0.29,0.5,0.42,7.0,8.0,0.0,0.14,0.14,0.25,1.0,Y
MOVE PLACE_2_0 PLACE_2_1,0.25,0.15,0.29,0.26,0.41,0.31,7.0,10.0,0.19,0.33,0.33,0.4,2.0,N
MOVE PLACE_2_1 PLACE_2_2,0.15,0.14,0.26,0.17,0.29,0.27,7.0,12.0,0.3,0.55,0.41,0.62,2.0,N
MOVE PLACE_2_2 PLACE_2_3,0.25,0.16,0.24,0.22,0.25,0.24,7.0,14.0,0.54,0.58,0.62,0.64,2.0,N
MOVE PLACE_2_3 PLACE_3_3,0.18,0.31,0.22,0.3,0.19,0.22,7.0,15.0,0.61,0.61,0.67,0.67,2.0,N
UNLOCK PLACE_3_3 PLACE_3_2 KEY_1 SHAPE_1,0.26,0.12,0.31,0.2,0.21,0.23,7.0,15.0,0.6,0.46,0.66,0.53,2.0,N
MOVE PLACE_3_3 PLACE_3_2,0.0,0.11,0.17,0.25,0.21,0.3,7.0,15.0,0.63,0.5,0.69,0.57,2.0,N
MOVE PLACE_3_2 PLACE_3_1,0.0,0.11,0.19,0.25,0.21,0.3,7.0,15.0,0.57,0.54,0.62,0.6,2.0,N
MOVE PLACE_3_1 PLACE_3_0,0.0,0.11,0.19,0.25,0.29,0.3,7.0,15.0,0.57,0.43,0.62,0.47,2.0,N
