o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
PICKUP PLACE_0_0 KEY_0,0.33,0.07,0.03,1.37,4,13,1.0,N
PICKUP PLACE_0_0 KEY_1,0.5,0.12,0.05,1.5699999999999998,3,12,1.0,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.5,0.17,0.1,1.57,3,11,1.0,N
MOVE PLACE_0_0 PLACE_0_1,0.5,0.14,0.11,1.53,4,11,0.0,N
MOVE PLACE_0_1 PLACE_0_2,0.5,0.17,0.07,1.6,5,10,0.0,N
MOVE PLACE_0_2 PLACE_0_3,0.5,0.28,0.04,1.74,6,9,0.0,N
MOVE PLACE_0_3 PLACE_1_3,0.33,0.23,0.05,1.51,6,8,0.0,N
MOVE PLACE_1_3 PLACE_2_3,0.33,0.12,0.07,1.38,5,9,0.0,N
MOVE PLACE_2_3 PLACE_3_3,1.0,0.1,0.5,1.6,7,4,0.0,N
UNLOCK PLACE_3_3 PLACE_3_2 KEY_1 SHAPE_1,0.5,0.1,0.5,1.1,6,3,0.0,N
MOVE PLACE_3_3 PLACE_3_2,0.5,0.1,0.5,1.1,7,2,0.0,N
MOVE PLACE_3_2 PLACE_3_1,1.0,0.0,1.0,1.0,-1,1,0.0,N
MOVE PLACE_3_1 PLACE_3_0,1.0,0.0,1.0,1.0,-1,0,0.0,N
