o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
PICKUP PLACE_0_0 KEY_1,0.33,0.29,0.55,0.44,0.57,0.46,4.0,5.0,0.0,0.0,0.0,0.0,2.0,N
PICKUP PLACE_0_0 KEY_0,0.29,0.25,0.44,0.36,0.5,0.42,5.0,6.0,0.0,0.2,0.0,0.08,2.0,N
MOVE PLACE_0_0 PLACE_1_0,0.31,0.25,0.46,0.36,0.5,0.45,5.0,6.0,0.0,0.0,0.0,0.0,2.0,N
MOVE PLACE_1_0 PLACE_2_0,0.38,0.25,0.5,0.4,0.56,0.5,5.0,6.0,0.0,0.0,0.0,0.0,1.0,Y
MOVE PLACE_2_0 PLACE_2_1,0.2,0.1,0.4,0.35,0.45,0.37,5.0,8.0,0.0,0.14,0.14,0.25,2.0,N
MOVE PLACE_2_1 PLACE_2_2,0.18,0.04,0.35,0.24,0.34,0.31,5.0,10.0,0.25,0.33,0.33,0.35,2.0,N
MOVE PLACE_2_2 PLACE_2_3,0.0,0.14,0.24,0.21,0.29,0.27,5.0,12.0,0.55,0.55,0.59,0.58,2.0,N
MOVE PLACE_2_3 PLACE_3_3,0.11,0.2,0.25,0.29,0.22,0.25,5.0,13.0,0.5,0.5,0.54,0.54,2.0,N
UNLOCK PLACE_3_3 PLACE_3_2 KEY_1 SHAPE_1,0.33,0.13,0.41,0.25,0.24,0.26,5.0,13.0,0.54,0.38,0.61,0.46,2.0,N
MOVE PLACE_3_3 PLACE_3_2,0.0,0.12,0.22,0.31,0.24,0.33,5.0,13.0,0.58,0.42,0.64,0.5,2.0,N
MOVE PLACE_3_2 PLACE_3_1,0.0,0.12,0.23,0.31,0.24,0.33,5.0,13.0,0.54,0.46,0.57,0.54,2.0,N
MOVE PLACE_3_1 PLACE_3_0,0.0,0.13,0.23,0.31,0.28,0.33,5.0,13.0,0.5,0.42,0.57,0.46,2.0,N
