o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
PICKUP PLACE_0_0 KEY_0,0.33,0.07,0.03,1.37,4,13,1.0,N
PICKUP PLACE_0_0 KEY_1,0.5,0.12,0.05,1.5699999999999998,3,12,1.0,N
MOVE PLACE_0_0 PLACE_1_0,0.33,0.13,0.07,1.39,4,13,0.0,N
MOVE PLACE_1_0 PLACE_2_0,0.33,1.0,0.0,2.33,0,-1,0.0,Y
MOVE PLACE_2_0 PLACE_2_1,0.5,0.32,0.06,1.76,5,12,0.0,N
MOVE PLACE_2_1 PLACE_2_2,0.33,0.15,0.03,1.45,7,11,0.0,N
MOVE PLACE_2_2 PLACE_2_3,0.33,0.11,0.07,1.3699999999999999,5,10,0.0,N
MOVE PLACE_2_3 PLACE_3_3,1.0,0.12,0.5,1.62,5,4,0.0,N
UNLOCK PLACE_3_3 PLACE_3_2 KEY_1 SHAPE_1,0.5,0.12,0.5,1.12,4,3,0.0,N
MOVE PLACE_3_3 PLACE_3_2,0.5,0.12,0.5,1.12,5,2,0.0,N
MOVE PLACE_3_2 PLACE_3_1,1.0,0.0,1.0,1.0,-1,1,0.0,N
MOVE PLACE_3_1 PLACE_3_0,1.0,0.0,1.0,1.0,-1,0,0.0,N
