o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
PICKUP PLACE_0_0 KEY_0,0.33,0.07,0.03,1.37,4,13,1.0,N
PICKUP PLACE_0_0 KEY_1,0.5,0.12,0.05,1.5699999999999998,3,12,1.0,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.5,0.17,0.1,1.57,3,11,1.0,N
MOVE PLACE_0_0 PLACE_1_0,0.33,0.22,0.06,1.49,2,10,0.0,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.33,0.33,0.0,1.6600000000000001,1,-1,0.0,N
MOVE PLACE_1_0 PLACE_1_1,0.5,0.25,0.06,1.69,2,8,0.0,N
MOVE PLACE_1_1 PLACE_1_2,0.5,0.25,0.06,1.69,3,7,0.0,N
MOVE PLACE_1_2 PLACE_1_3,0.33,0.17,0.08,1.42,4,6,0.0,N
MOVE PLACE_1_3 PLACE_2_3,0.33,0.17,0.17,1.33,3,5,0.0,N
MOVE PLACE_2_3 PLACE_3_3,1.0,0.0,0.5,1.5,-1,4,0.0,N
UNLOCK PLACE_3_3 PLACE_3_2 KEY_1 SHAPE_1,0.5,0.0,0.5,1.0,-1,3,0.0,N
MOVE PLACE_3_3 PLACE_3_2,0.5,0.0,0.5,1.0,-1,2,0.0,N
MOVE PLACE_3_2 PLACE_3_1,1.0,0.0,1.0,1.0,-1,1,0.0,N
MOVE PLACE_3_1 PLACE_3_0,1.0,0.0,1.0,1.0,-1,0,0.0,N
