o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
PICKUP PLACE_0_0 KEY_1,0.5,0.1,0.02,1.58,4,13,1.0,N
PICKUP PLACE_0_0 KEY_0,0.5,0.12,0.05,1.5699999999999998,3,12,1.0,N
MOVE PLACE_0_0 PLACE_1_0,0.33,0.13,0.07,1.39,4,13,0.0,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.33,0.21,0.14,1.4,3,11,0.0,N
MOVE PLACE_1_0 PLACE_2_0,0.33,1.0,0.0,2.33,0,-1,0.0,Y
MOVE PLACE_2_0 PLACE_2_1,0.5,0.26,0.14,1.62,7,12,0.0,N
MOVE PLACE_2_1 PLACE_2_2,0.33,0.13,0.05,1.41,8,11,0.0,N
MOVE PLACE_2_2 PLACE_2_3,0.33,0.16,0.11,1.38,8,9,0.0,N
MOVE PLACE_2_3 PLACE_3_3,1.0,0.22,0.5,1.72,9,4,0.0,N
UNLOCK PLACE_3_3 PLACE_3_2 KEY_1 SHAPE_1,0.5,0.22,0.5,1.22,8,3,0.0,N
MOVE PLACE_3_3 PLACE_3_2,0.5,0.22,0.5,1.22,9,2,0.0,N
MOVE PLACE_3_2 PLACE_3_1,1.0,0.0,1.0,1.0,-1,1,0.0,N
MOVE PLACE_3_1 PLACE_3_0,1.0,0.0,1.0,1.0,-1,0,0.0,N
