o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
PICKUP PLACE_0_0 KEY_1,0.33,0.29,0.55,0.44,0.57,0.46,4.0,5.0,0.0,0.0,0.0,0.0,2.0,N
MOVE PLACE_0_0 PLACE_1_0,0.33,0.29,0.55,0.42,0.57,0.5,4.0,5.0,0.0,0.0,0.0,0.0,2.0,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.33,0.25,0.43,0.33,0.5,0.45,5.0,6.0,0.0,0.0,0.0,0.0,2.0,N
MOVE PLACE_1_0 PLACE_2_0,0.44,0.25,0.45,0.38,0.6,0.5,5.0,6.0,0.0,0.0,0.0,0.0,1.0,Y
MOVE PLACE_2_0 PLACE_2_1,0.25,0.18,0.38,0.33,0.45,0.37,5.0,8.0,0.0,0.14,0.14,0.19,2.0,N
MOVE PLACE_2_1 PLACE_2_2,0.18,0.17,0.33,0.22,0.34,0.31,5.0,10.0,0.12,0.44,0.28,0.55,2.0,N
MOVE PLACE_2_2 PLACE_2_3,0.26,0.18,0.28,0.27,0.29,0.27,5.0,12.0,0.45,0.5,0.55,0.58,2.0,N
MOVE PLACE_2_3 PLACE_3_3,0.17,0.35,0.27,0.35,0.22,0.25,5.0,13.0,0.54,0.54,0.62,0.62,2.0,N
UNLOCK PLACE_3_3 PLACE_3_2 KEY_1 SHAPE_1,0.24,0.13,0.37,0.24,0.24,0.26,5.0,13.0,0.54,0.38,0.61,0.46,2.0,N
MOVE PLACE_3_3 PLACE_3_2,0.0,0.12,0.21,0.3,0.24,0.33,5.0,13.0,0.58,0.42,0.64,0.5,2.0,N
MOVE PLACE_3_2 PLACE_3_1,0.0,0.12,0.22,0.3,0.24,0.33,5.0,13.0,0.54,0.46,0.57,0.54,2.0,N
MOVE PLACE_3_1 PLACE_3_0,0.0,0.12,0.22,0.3,0.32,0.33,5.0,13.0,0.5,0.33,0.57,0.38,2.0,N
