ob,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
SAIL L4 L2,0.43,0.18,0.37,0.2,0.43,0.28,5.0,10.0,0.12,0.11,0.4,0.45,0.75,N
SAIL L2 L1,0.33,0.18,0.27,0.2,0.45,0.3,5.0,10.0,0.12,0.17,0.4,0.45,0.5,N
BOARD C1 L1,0.38,0.18,0.42,0.18,0.45,0.21,5.0,10.0,0.0,0.28,0.2,0.5,0.75,N
SAIL L1 L3,0.29,0.18,0.38,0.16,0.39,0.21,6.0,10.0,0.1,0.67,0.33,0.8,0.75,N
DEBARK C1 L3,0.12,0.14,0.18,0.16,0.31,0.21,8.0,10.0,0.5,0.67,0.62,0.8,0.5,N
SAIL L3 L1,0.18,0.09,0.17,0.15,0.25,0.21,10.0,10.0,0.61,0.61,0.55,0.7,0.5,N
BOARD C2 L1,0.15,0.09,0.21,0.15,0.2,0.21,12.0,10.0,0.59,0.61,0.67,0.7,0.5,N
SAIL L1 L2,0.08,0.08,0.23,0.14,0.19,0.2,13.0,11.0,0.62,0.65,0.69,0.73,0.75,N
SAIL L2 L3,0.0,0.0,0.12,0.14,0.21,0.18,13.0,12.0,0.67,0.68,0.65,0.75,0.5,N
SAIL L3 L4,0.0,0.04,0.21,0.14,0.16,0.21,15.0,12.0,0.68,0.73,0.73,0.75,0.5,N
DEBARK C2 L4,-0.07,0.0,0.15,0.14,0.17,0.21,15.0,12.0,0.75,0.64,0.7,0.67,0.5,N
SAIL L4 L1,0.5,0.2,0.44,0.21,0.52,0.33,4.0,9.0,0.0,0.19,0.25,0.39,0.5,N
BOARD C1 L1,0.5,0.2,0.5,0.19,0.52,0.23,4.0,9.0,0.0,0.19,0.0,0.44,0.75,N
SAIL L1 L3,0.43,0.2,0.47,0.17,0.45,0.23,5.0,9.0,0.0,0.62,0.2,0.78,0.75,N
DEBARK C1 L3,0.33,0.2,0.29,0.17,0.35,0.23,7.0,9.0,0.42,0.62,0.57,0.78,0.5,N
SAIL L3 L1,0.24,0.1,0.25,0.16,0.27,0.24,9.0,9.0,0.56,0.56,0.5,0.67,0.5,N
BOARD C2 L1,0.17,0.2,0.25,0.16,0.22,0.24,11.0,9.0,0.55,0.56,0.64,0.67,0.5,N
SAIL L1 L3,0.13,0.1,0.2,0.15,0.24,0.21,11.0,10.0,0.6,0.61,0.59,0.7,0.5,N
SAIL L3 L4,0.14,0.09,0.23,0.15,0.18,0.25,13.0,10.0,0.62,0.67,0.69,0.7,0.5,N
DEBARK C2 L4,0.07,0.09,0.2,0.15,0.2,0.25,13.0,10.0,0.71,0.56,0.65,0.6,0.5,N
SAIL L4 L1,0.5,0.2,0.44,0.21,0.52,0.33,4.0,9.0,0.0,0.19,0.25,0.39,0.5,N
BOARD C2 L1,0.38,0.2,0.33,0.14,0.39,0.23,6.0,9.0,0.2,0.19,0.25,0.44,0.5,N
SAIL L1 L2,0.4,0.18,0.33,0.16,0.29,0.21,8.0,10.0,0.36,0.67,0.5,0.8,0.75,N
SAIL L2 L4,0.36,0.18,0.28,0.11,0.26,0.21,9.0,10.0,0.44,0.67,0.56,0.8,0.5,N
DEBARK C2 L4,0.3,0.18,0.17,0.11,0.28,0.21,9.0,10.0,0.56,0.67,0.5,0.8,0.5,N
SAIL L4 L2,0.18,0.09,0.16,0.19,0.25,0.19,10.0,11.0,0.56,0.65,0.55,0.73,0.75,N
SAIL L2 L1,0.09,0.08,0.16,0.14,0.26,0.2,10.0,11.0,0.61,0.65,0.7,0.73,0.5,N
BOARD C1 L1,0.17,0.08,0.16,0.14,0.26,0.2,10.0,11.0,0.5,0.65,0.6,0.73,0.75,N
SAIL L1 L3,0.08,0.08,0.24,0.14,0.24,0.23,11.0,11.0,0.55,0.7,0.64,0.73,0.75,N
DEBARK C1 L3,0.07,0.08,0.12,0.14,0.21,0.23,13.0,11.0,0.71,0.6,0.77,0.64,0.5,N
SAIL L4 L1,0.5,0.2,0.44,0.21,0.52,0.33,4.0,9.0,0.0,0.19,0.25,0.39,0.5,N
BOARD C2 L1,0.38,0.2,0.33,0.14,0.39,0.23,6.0,9.0,0.2,0.19,0.25,0.44,0.5,N
SAIL L1 L4,0.4,0.2,0.33,0.11,0.29,0.23,8.0,9.0,0.36,0.62,0.5,0.78,0.5,N
DEBARK C2 L4,0.3,0.2,0.3,0.11,0.3,0.23,8.0,9.0,0.5,0.62,0.44,0.78,0.5,N
SAIL L4 L2,0.1,0.18,0.25,0.2,0.28,0.21,9.0,10.0,0.5,0.61,0.5,0.7,0.75,N
SAIL L2 L1,0.1,0.09,0.17,0.15,0.28,0.21,9.0,10.0,0.56,0.61,0.67,0.7,0.5,N
BOARD C1 L1,0.1,0.1,0.26,0.15,0.28,0.21,9.0,10.0,0.44,0.61,0.56,0.7,0.75,N
SAIL L1 L4,0.18,0.08,0.16,0.14,0.26,0.2,10.0,11.0,0.5,0.65,0.6,0.73,0.75,N
SAIL L4 L2,0.17,0.08,0.2,0.14,0.31,0.18,10.0,12.0,0.44,0.68,0.5,0.75,1.0,Y
SAIL L2 L3,0.11,0.08,0.23,0.14,0.22,0.21,10.0,12.0,0.59,0.73,0.67,0.75,0.75,N
DEBARK C1 L3,0.07,0.08,0.12,0.14,0.2,0.21,10.0,12.0,0.73,0.64,0.79,0.67,0.5,N
SAIL L4 L2,0.43,0.18,0.37,0.2,0.43,0.28,5.0,10.0,0.12,0.11,0.4,0.45,0.75,N
SAIL L2 L1,0.33,0.18,0.27,0.2,0.45,0.3,5.0,10.0,0.12,0.17,0.4,0.45,0.5,N
BOARD C2 L1,0.29,0.18,0.26,0.2,0.35,0.21,7.0,10.0,0.33,0.28,0.36,0.5,0.5,N
SAIL L1 L4,0.2,0.1,0.32,0.2,0.26,0.21,9.0,10.0,0.44,0.67,0.56,0.8,0.5,N
