o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
MOVE PLACE_2_3 PLACE_2_4,0.5,0.0,0.02,1.48,-1,12,NaN,N
MOVE PLACE_2_4 PLACE_2_5,0.5,0.0,0.03,1.47,-1,11,NaN,N
MOVE PLACE_2_5 PLACE_3_5,0.33,0.0,0.0,1.33,-1,10,NaN,N
MOVE PLACE_3_5 PLACE_3_6,0.33,0.0,0.0,1.33,-1,9,NaN,N
MOVE PLACE_3_6 PLACE_3_7,0.33,0.0,0.01,1.32,-1,8,NaN,N
MOVE PLACE_3_7 PLACE_3_8,0.33,0.0,0.01,1.32,-1,7,NaN,N
MOVE PLACE_3_8 PLACE_4_8,0.33,0.0,0.0,1.33,-1,6,NaN,N
MOVE PLACE_4_8 PLACE_4_9,0.33,0.0,0.0,1.33,-1,5,NaN,N
MOVE PLACE_4_9 PLACE_4_10,0.33,0.0,0.01,1.32,-1,4,NaN,N
MOVE PLACE_4_10 PLACE_4_11,0.33,0.0,0.04,1.29,-1,3,NaN,N
MOVE PLACE_4_11 PLACE_4_12,0.33,0.0,0.11,1.22,-1,2,NaN,N
MOVE PLACE_4_12 PLACE_4_13,0.33,0.0,0.33,1.0,-1,1,NaN,N
MOVE PLACE_4_13 PLACE_4_14,1.0,0.0,1.0,1.0,-1,0,NaN,N
