o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
MOVE PLACE_2_3 PLACE_3_3,0.76,0.41,0.78,0.5,0.01,0.13,14.0,14.0,0.54,0.46,0.61,0.54,2.0,N
MOVE PLACE_3_3 PLACE_3_4,0.76,0.44,0.78,0.51,0.01,0.14,14.0,14.0,0.58,0.42,0.64,0.5,2.0,N
MOVE PLACE_3_4 PLACE_3_5,0.73,0.44,0.75,0.5,0.01,0.14,14.0,14.0,0.46,0.46,0.54,0.54,2.0,N
MOVE PLACE_3_5 PLACE_4_5,0.36,0.25,0.47,0.33,0.13,0.14,14.0,14.0,0.65,0.58,0.71,0.64,2.0,N
MOVE PLACE_4_5 PLACE_4_6,0.35,0.25,0.42,0.33,0.13,0.14,14.0,14.0,0.69,0.58,0.75,0.64,2.0,N
MOVE PLACE_4_6 PLACE_4_7,0.41,0.25,0.5,0.33,0.13,0.14,14.0,14.0,0.62,0.62,0.68,0.68,2.0,N
MOVE PLACE_4_7 PLACE_4_8,0.44,0.25,0.5,0.33,0.14,0.14,14.0,14.0,0.62,0.62,0.68,0.68,2.0,N
MOVE PLACE_4_8 PLACE_4_9,0.35,0.25,0.42,0.33,0.14,0.14,14.0,14.0,0.65,0.58,0.71,0.64,2.0,N
MOVE PLACE_4_9 PLACE_4_10,0.35,0.25,0.42,0.33,0.13,0.14,14.0,14.0,0.69,0.58,0.75,0.64,2.0,N
MOVE PLACE_4_10 PLACE_4_11,0.33,0.25,0.42,0.33,0.13,0.19,14.0,14.0,0.58,0.58,0.64,0.64,2.0,N
MOVE PLACE_4_11 PLACE_4_12,0.24,0.24,0.22,0.22,0.24,0.24,14.0,14.0,0.62,0.62,0.68,0.68,2.0,N
MOVE PLACE_4_12 PLACE_4_13,0.24,0.24,0.22,0.22,0.24,0.24,14.0,14.0,0.65,0.65,0.71,0.71,2.0,N
MOVE PLACE_4_13 PLACE_4_14,0.21,0.22,0.2,0.3,0.21,0.32,16.0,14.0,0.67,0.54,0.72,0.57,2.0,N
