o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
MOVE PLACE_2_3 PLACE_2_4,0.5,0.0,0.02,1.48,-1,12,NaN,N
MOVE PLACE_2_4 PLACE_2_5,0.5,0.0,0.03,1.47,-1,11,NaN,N
MOVE PLACE_2_5 PLACE_2_6,0.5,0.0,0.05,1.45,-1,10,NaN,N
MOVE PLACE_2_6 PLACE_2_7,0.5,0.0,0.08,1.42,-1,9,NaN,N
MOVE PLACE_2_7 PLACE_2_8,0.5,0.0,0.13,1.37,-1,8,NaN,N
MOVE PLACE_2_8 PLACE_2_9,0.5,0.0,0.21,1.29,-1,7,NaN,N
MOVE PLACE_2_9 PLACE_2_10,0.5,0.0,0.31,1.19,-1,6,NaN,N
MOVE PLACE_2_10 PLACE_2_11,0.5,0.0,0.44,1.06,-1,5,NaN,N
MOVE PLACE_2_11 PLACE_2_12,0.5,0.0,0.59,0.91,-1,4,NaN,N
MOVE PLACE_2_12 PLACE_3_12,0.33,0.0,0.17,1.16,-1,3,NaN,N
MOVE PLACE_3_12 PLACE_3_13,0.33,0.0,0.28,1.05,-1,2,NaN,N
MOVE PLACE_3_13 PLACE_3_14,0.5,0.0,0.5,1.0,-1,1,NaN,N
MOVE PLACE_3_14 PLACE_4_14,1.0,0.0,1.0,1.0,-1,0,NaN,N
