o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
SAIL L4 L1,0.5,0.2,0.44,0.11,0.52,0.27,4.0,9.0,0.0,0.38,0.25,0.44,0.5,N
BOARD C2 L1,0.5,0.2,0.5,0.11,0.52,0.23,4.0,9.0,0.0,0.56,0.0,0.5,0.75,N
SAIL L1 L3,0.43,0.18,0.47,0.11,0.45,0.21,5.0,10.0,0.0,0.67,0.2,0.8,0.75,N
SAIL L3 L4,0.27,0.18,0.44,0.11,0.39,0.21,6.0,10.0,0.1,0.67,0.33,0.8,0.75,N
DEBARK C2 L4,0.11,0.18,0.27,0.11,0.31,0.21,8.0,10.0,0.5,0.67,0.62,0.8,0.5,N
SAIL L4 L2,0.14,0.0,0.16,0.15,0.25,0.19,10.0,11.0,0.61,0.7,0.55,0.82,0.75,N
SAIL L2 L1,0.17,0.0,0.15,0.14,0.23,0.19,11.0,11.0,0.65,0.65,0.59,0.73,0.5,N
BOARD C1 L1,0.14,0.0,0.2,0.14,0.18,0.19,13.0,11.0,0.62,0.65,0.69,0.73,0.5,N
SAIL L1 L4,0.07,-0.09,0.12,0.14,0.21,0.23,13.0,11.0,0.67,0.7,0.65,0.73,0.5,N
DEBARK C1 L4,0.07,0.0,0.12,0.14,0.21,0.23,13.0,11.0,0.71,0.6,0.77,0.64,0.5,N
