o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
PICKUP PLACE_0_0 KEY_0,0.38,0.25,0.33,0.29,0.5,0.41,5.0,6.0,0.0,0.0,0.0,0.0,2.0,N
PICKUP PLACE_0_0 KEY_1,0.41,0.25,0.33,0.29,0.46,0.41,6.0,7.0,0.0,0.0,0.0,0.14,2.0,N
MOVE PLACE_0_0 PLACE_1_0,0.3,0.64,0.28,0.67,0.36,0.26,8.0,9.0,0.14,0.38,0.25,0.39,2.0,N
MOVE PLACE_1_0 PLACE_2_0,0.68,0.35,0.72,0.47,0.27,0.23,10.0,10.0,0.28,0.39,0.35,0.45,2.0,N
MOVE PLACE_2_0 PLACE_2_1,0.27,0.25,0.35,0.29,0.23,0.26,11.0,10.0,0.45,0.44,0.5,0.5,2.0,N
MOVE PLACE_2_1 PLACE_2_2,0.23,0.31,0.32,0.37,0.23,0.26,11.0,10.0,0.5,0.44,0.45,0.5,2.0,N
MOVE PLACE_2_2 PLACE_1_2,0.12,0.23,0.28,0.29,0.29,0.31,11.0,10.0,0.45,0.44,0.45,0.4,2.0,N
UNLOCK PLACE_1_2 PLACE_1_1 KEY_1 SHAPE_1,0.14,0.17,0.24,0.25,0.27,0.29,12.0,11.0,0.41,0.4,0.46,0.45,2.0,N
MOVE PLACE_1_2 PLACE_1_3,0.14,0.21,0.24,0.29,0.27,0.33,12.0,11.0,0.45,0.4,0.5,0.45,2.0,N
MOVE PLACE_1_3 PLACE_0_3,0.07,0.21,0.27,0.29,0.31,0.38,12.0,11.0,0.45,0.3,0.5,0.36,2.0,N
