o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
PICKUP PLACE_0_0 KEY_0,0.33,0.09,0.02,1.4,6,11,0.67,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.33,0.18,0.01,1.5,4,12,0.33,N
PICKUP PLACE_0_0 KEY_1,0.5,0.29,0.02,1.77,4,11,0.33,N
MOVE PLACE_0_0 PLACE_1_0,0.33,0.22,0.06,1.49,4,9,0.0,N
MOVE PLACE_1_0 PLACE_2_0,0.33,0.08,0.21,1.2000000000000002,7,10,0.0,N
MOVE PLACE_2_0 PLACE_3_0,0.5,0.07,0.17,1.4,7,8,0.0,N
MOVE PLACE_3_0 PLACE_3_1,0.5,0.07,0.17,1.4,7,8,0.0,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.5,0.08,0.34,1.2399999999999998,7,8,0.0,N
MOVE PLACE_3_1 PLACE_3_2,0.5,0.0,0.12,1.38,-1,6,0.0,N
MOVE PLACE_3_2 PLACE_3_3,0.5,0.0,0.12,1.38,-1,5,0.0,N
MOVE PLACE_3_3 PLACE_2_3,0.33,0.0,0.17,1.16,-1,4,0.0,N
MOVE PLACE_2_3 PLACE_1_3,0.33,0.0,0.25,1.08,-1,3,0.0,N
MOVE PLACE_1_3 PLACE_0_3,1.0,0.0,1.0,1.0,-1,0,0.0,N
