o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
PICKUP PLACE_0_0 KEY_1,0.5,0.14,0.02,1.62,7,11,1.0,N
PICKUP PLACE_0_0 KEY_0,0.5,0.17,0.03,1.6400000000000001,5,10,0.67,N
MOVE PLACE_0_0 PLACE_1_0,0.33,0.05,0.04,1.3399999999999999,9,11,0.33,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.33,0.09,0.09,1.33,8,10,0.33,N
MOVE PLACE_1_0 PLACE_2_0,0.33,0.05,0.28,1.1,8,7,0.33,N
MOVE PLACE_2_0 PLACE_2_1,0.5,0.04,0.17,1.37,9,5,0.33,N
MOVE PLACE_2_1 PLACE_2_2,0.33,0.16,0.23,1.26,11,4,0.33,N
MOVE PLACE_2_2 PLACE_2_3,0.33,0.17,0.1,1.4,10,4,0.33,N
MOVE PLACE_2_3 PLACE_1_3,0.33,0.07,0.18,1.2200000000000002,11,4,0.33,N
MOVE PLACE_1_3 PLACE_0_3,1.0,0.0,1.0,1.0,-1,0,0.33,N
