o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
PICKUP PLACE_0_0 KEY_1,0.44,0.79,0.31,0.74,0.45,0.4,6.0,7.0,0.0,0.0,0.0,0.07,2.0,N
MOVE PLACE_0_0 PLACE_1_0,0.69,0.69,0.83,0.74,0.35,0.33,8.0,8.0,0.07,0.21,0.19,0.19,2.0,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.78,0.5,0.74,0.58,0.34,0.38,9.0,8.0,0.19,0.14,0.28,0.25,2.0,N
MOVE PLACE_1_0 PLACE_2_0,0.71,0.57,0.71,0.55,0.2,0.2,11.0,10.0,0.3,0.33,0.36,0.4,2.0,N
MOVE PLACE_2_0 PLACE_3_0,0.63,0.5,0.62,0.49,0.17,0.17,13.0,12.0,0.5,0.5,0.54,0.5,2.0,N
MOVE PLACE_3_0 PLACE_3_1,0.55,0.58,0.58,0.6,0.22,0.23,14.0,13.0,0.58,0.5,0.54,0.54,2.0,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.43,0.31,0.47,0.31,0.24,0.25,14.0,13.0,0.46,0.46,0.5,0.5,2.0,N
MOVE PLACE_3_1 PLACE_3_2,0.0,0.13,0.19,0.18,0.24,0.25,14.0,13.0,0.5,0.54,0.54,0.62,2.0,N
MOVE PLACE_3_2 PLACE_3_3,0.12,0.13,0.16,0.17,0.24,0.25,14.0,13.0,0.65,0.62,0.71,0.69,2.0,N
MOVE PLACE_3_3 PLACE_2_3,0.12,0.13,0.16,0.17,0.24,0.25,14.0,13.0,0.46,0.5,0.5,0.54,2.0,N
MOVE PLACE_2_3 PLACE_1_3,0.12,0.13,0.22,0.23,0.32,0.34,14.0,13.0,0.46,0.5,0.5,0.54,2.0,N
MOVE PLACE_1_3 PLACE_0_3,0.06,0.12,0.22,0.23,0.32,0.33,14.0,13.0,0.35,0.33,0.39,0.38,2.0,N
