o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
PICKUP PLACE_0_0 KEY_0,0.38,0.25,0.33,0.29,0.5,0.41,5.0,6.0,0.0,0.0,0.0,0.0,2.0,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.35,0.25,0.4,0.33,0.51,0.45,5.0,6.0,0.0,0.0,0.0,0.0,2.0,N
PICKUP PLACE_0_0 KEY_1,0.42,0.32,0.35,0.31,0.51,0.41,6.0,7.0,0.0,0.0,0.0,0.07,2.0,N
MOVE PLACE_0_0 PLACE_1_0,0.2,0.7,0.28,0.64,0.37,0.3,8.0,9.0,0.07,0.25,0.19,0.39,2.0,N
MOVE PLACE_1_0 PLACE_2_0,0.25,0.65,0.29,0.62,0.31,0.18,10.0,11.0,0.33,0.45,0.45,0.5,2.0,N
MOVE PLACE_2_0 PLACE_2_1,0.62,0.26,0.6,0.27,0.17,0.24,12.0,11.0,0.5,0.4,0.54,0.5,2.0,N
MOVE PLACE_2_1 PLACE_2_2,0.27,0.29,0.29,0.31,0.23,0.24,12.0,11.0,0.45,0.45,0.54,0.55,2.0,N
MOVE PLACE_2_2 PLACE_2_3,0.14,0.15,0.2,0.21,0.27,0.29,12.0,11.0,0.5,0.5,0.58,0.5,2.0,N
MOVE PLACE_2_3 PLACE_3_3,0.07,0.13,0.2,0.19,0.24,0.25,14.0,13.0,0.58,0.62,0.57,0.58,2.0,N
UNLOCK PLACE_3_3 PLACE_3_2 KEY_1 SHAPE_1,0.12,0.12,0.16,0.17,0.23,0.24,15.0,14.0,0.57,0.65,0.63,0.71,2.0,N
MOVE PLACE_3_3 PLACE_2_3,0.06,0.12,0.16,0.17,0.23,0.24,15.0,14.0,0.61,0.62,0.67,0.61,2.0,N
MOVE PLACE_2_3 PLACE_1_3,0.15,0.12,0.19,0.23,0.23,0.28,15.0,14.0,0.5,0.54,0.57,0.57,2.0,N
MOVE PLACE_1_3 PLACE_0_3,0.11,0.17,0.22,0.23,0.3,0.32,15.0,14.0,0.57,0.46,0.6,0.5,2.0,N
