o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
PICKUP PLACE_0_0 KEY_1,0.44,0.79,0.31,0.74,0.45,0.4,6.0,7.0,0.0,0.0,0.0,0.07,2.0,N
MOVE PLACE_0_0 PLACE_1_0,0.69,0.69,0.83,0.74,0.35,0.33,8.0,8.0,0.07,0.21,0.19,0.19,2.0,N
MOVE PLACE_1_0 PLACE_2_0,0.78,0.36,0.82,0.53,0.22,0.28,10.0,9.0,0.33,0.38,0.4,0.39,2.0,N
MOVE PLACE_2_0 PLACE_3_0,0.73,0.32,0.71,0.42,0.19,0.18,12.0,11.0,0.41,0.45,0.46,0.45,2.0,N
MOVE PLACE_3_0 PLACE_3_1,0.58,0.6,0.65,0.65,0.23,0.24,13.0,12.0,0.46,0.41,0.5,0.42,2.0,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.29,0.27,0.3,0.24,0.25,0.27,13.0,12.0,0.42,0.41,0.46,0.46,2.0,N
MOVE PLACE_3_1 PLACE_3_2,0.0,0.14,0.22,0.21,0.26,0.27,13.0,12.0,0.46,0.5,0.5,0.58,2.0,N
MOVE PLACE_3_2 PLACE_3_3,0.13,0.14,0.18,0.19,0.26,0.27,13.0,12.0,0.62,0.59,0.65,0.67,2.0,N
MOVE PLACE_3_3 PLACE_2_3,0.13,0.14,0.18,0.19,0.25,0.27,13.0,12.0,0.54,0.5,0.5,0.5,2.0,N
MOVE PLACE_2_3 PLACE_1_3,0.13,0.14,0.25,0.26,0.3,0.31,13.0,12.0,0.5,0.45,0.54,0.5,2.0,N
MOVE PLACE_1_3 PLACE_0_3,0.0,0.14,0.25,0.26,0.34,0.35,13.0,12.0,0.33,0.27,0.38,0.33,2.0,N
