o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
PICKUP PLACE_0_0 KEY_1,0.44,0.79,0.31,0.74,0.45,0.4,6.0,7.0,0.0,0.0,0.0,0.07,2.0,N
PICKUP PLACE_0_0 KEY_0,0.41,0.25,0.33,0.29,0.46,0.41,6.0,7.0,0.0,0.0,0.0,0.14,2.0,N
MOVE PLACE_0_0 PLACE_1_0,0.3,0.64,0.28,0.67,0.36,0.26,8.0,9.0,0.14,0.38,0.25,0.39,2.0,N
MOVE PLACE_1_0 PLACE_2_0,0.68,0.35,0.72,0.47,0.27,0.23,10.0,10.0,0.28,0.39,0.35,0.45,2.0,N
MOVE PLACE_2_0 PLACE_3_0,0.53,0.29,0.62,0.38,0.23,0.17,12.0,12.0,0.5,0.5,0.54,0.54,2.0,N
MOVE PLACE_3_0 PLACE_3_1,0.54,0.57,0.59,0.61,0.16,0.22,14.0,13.0,0.58,0.46,0.54,0.46,2.0,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.19,0.25,0.2,0.24,0.19,0.25,14.0,13.0,0.54,0.46,0.57,0.5,2.0,N
MOVE PLACE_3_1 PLACE_3_2,0.1,0.13,0.2,0.21,0.22,0.25,14.0,13.0,0.5,0.54,0.54,0.62,2.0,N
MOVE PLACE_3_2 PLACE_3_3,0.07,0.13,0.18,0.17,0.24,0.25,14.0,13.0,0.65,0.62,0.64,0.69,2.0,N
MOVE PLACE_3_3 PLACE_2_3,0.12,0.13,0.17,0.17,0.24,0.25,14.0,13.0,0.65,0.58,0.61,0.58,2.0,N
MOVE PLACE_2_3 PLACE_1_3,0.12,0.19,0.2,0.24,0.24,0.29,14.0,13.0,0.62,0.5,0.57,0.5,2.0,N
MOVE PLACE_1_3 PLACE_0_3,0.06,0.19,0.23,0.24,0.28,0.33,14.0,13.0,0.54,0.42,0.54,0.46,2.0,N
