o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
PICKUP PLACE_0_0 KEY_1,0.5,0.14,0.02,1.62,7,11,1.0,N
MOVE PLACE_0_0 PLACE_1_0,0.33,0.03,0.03,1.33,10,11,0.67,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.33,0.04,0.06,1.31,9,11,0.67,N
MOVE PLACE_1_0 PLACE_2_0,0.33,0.03,0.15,1.21,9,10,0.67,N
MOVE PLACE_2_0 PLACE_2_1,0.5,0.02,0.08,1.44,10,10,0.67,N
MOVE PLACE_2_1 PLACE_2_2,0.33,0.08,0.14,1.27,12,13,0.67,N
MOVE PLACE_2_2 PLACE_2_3,0.33,0.08,0.07,1.3399999999999999,11,11,0.67,N
MOVE PLACE_2_3 PLACE_3_3,1.0,0.19,0.17,2.02,11,11,0.67,N
UNLOCK PLACE_3_3 PLACE_3_2 KEY_1 SHAPE_1,0.5,0.22,0.2,1.52,10,11,0.67,N
MOVE PLACE_3_3 PLACE_2_3,0.33,0.1,0.12,1.31,9,9,0.67,N
MOVE PLACE_2_3 PLACE_1_3,0.33,0.04,0.19,1.1800000000000002,8,6,0.67,N
MOVE PLACE_1_3 PLACE_0_3,1.0,0.0,1.0,1.0,-1,0,0.67,N
