o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
SAIL L4 L2,0.43,0.29,0.45,0.28,0.43,0.33,5.0,6.0,0.12,0.4,0.4,0.67,0.5,N
SAIL L2 L1,0.43,0.29,0.42,0.23,0.45,0.34,5.0,6.0,0.12,0.3,0.4,0.5,0.5,N
BOARD C2 L1,0.43,0.22,0.47,0.17,0.45,0.26,5.0,8.0,0.0,0.5,0.2,0.62,0.75,N
SAIL L1 L2,0.29,0.18,0.44,0.11,0.39,0.21,6.0,10.0,0.1,0.67,0.33,0.8,0.75,N
SAIL L2 L3,0.25,0.09,0.31,0.12,0.44,0.19,6.0,11.0,0.0,0.7,0.17,0.82,1.0,Y
SAIL L3 L4,0.11,0.0,0.33,0.1,0.31,0.18,6.0,12.0,0.36,0.73,0.5,0.83,0.75,N
DEBARK C2 L4,0.09,0.0,0.16,0.08,0.26,0.15,6.0,14.0,0.61,0.5,0.7,0.64,0.5,N
SAIL L4 L1,0.0,0.0,0.19,0.07,0.21,0.14,6.0,15.0,0.68,0.54,0.62,0.67,0.5,N
BOARD C1 L1,0.1,0.0,0.22,0.07,0.17,0.14,6.0,15.0,0.65,0.79,0.71,0.87,0.5,N
SAIL L1 L4,0.0,0.0,0.15,0.07,0.2,0.15,6.0,15.0,0.69,0.75,0.68,0.8,0.5,N
DEBARK C1 L4,-0.07,0.0,0.12,0.07,0.2,0.15,6.0,15.0,0.73,0.75,0.79,0.8,0.5,N
BOARD C2 L4,-0.07,0.0,0.19,0.07,0.2,0.15,6.0,15.0,0.65,0.75,0.71,0.8,0.75,N
SAIL L4 L1,0.0,-0.07,0.18,0.11,0.18,0.18,6.0,15.0,0.68,0.79,0.73,0.8,0.75,N
DEBARK C2 L1,-0.06,-0.07,0.09,0.11,0.16,0.18,6.0,15.0,0.78,0.71,0.82,0.73,0.5,N
