o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
SAIL L4 L1,0.25,0.11,0.03,1.33,3,9,0.5,N
BOARD C2 L1,0.33,0.44,0.0,1.77,2,14,0.33,N
SAIL L1 L3,0.33,1.0,0.0,2.33,0,-1,0.33,Y
SAIL L3 L4,0.5,0.0,0.0,1.5,-1,14,0.33,N
DEBARK C2 L4,0.33,0.0,0.0,1.33,-1,14,0.33,N
SAIL L4 L2,0.5,0.0,0.0,1.5,-1,13,0.17,N
SAIL L2 L1,0.5,0.0,0.0,1.5,-1,12,0.33,N
BOARD C1 L1,0.33,0.0,0.0,1.33,-1,11,0.17,N
SAIL L1 L4,0.33,0.0,0.0,1.33,-1,11,0.17,N
DEBARK C1 L4,0.25,0.0,0.0,1.25,-1,16,0.33,N
BOARD C2 L4,0.33,0.0,0.01,1.32,-1,15,0.33,N
SAIL L4 L1,0.33,0.0,0.01,1.32,-1,16,0.33,N
DEBARK C2 L1,1.0,0.0,1.0,1.0,-1,0,0.5,N
