o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
PICKUP PLACE_0_0 KEY_1,0.56,0.75,0.52,0.79,0.41,0.36,6.0,7.0,0.0,0.08,0.0,0.21,2.0,N
PICKUP PLACE_0_0 KEY_0,0.4,0.86,0.33,0.82,0.36,0.27,7.0,8.0,0.0,0.21,0.14,0.31,2.0,N
MOVE PLACE_0_0 PLACE_1_0,0.57,0.69,0.55,0.7,0.4,0.33,7.0,8.0,0.08,0.14,0.29,0.25,2.0,N
MOVE PLACE_1_0 PLACE_2_0,0.36,0.36,0.35,0.5,0.32,0.28,8.0,9.0,0.21,0.38,0.31,0.44,2.0,N
MOVE PLACE_2_0 PLACE_2_1,0.3,0.33,0.33,0.31,0.37,0.28,8.0,9.0,0.21,0.38,0.25,0.5,2.0,N
MOVE PLACE_2_1 PLACE_2_2,0.36,0.35,0.41,0.5,0.37,0.33,8.0,9.0,0.21,0.38,0.31,0.5,2.0,N
MOVE PLACE_2_2 PLACE_2_3,0.31,0.3,0.39,0.27,0.26,0.34,10.0,9.0,0.44,0.31,0.5,0.39,2.0,N
MOVE PLACE_2_3 PLACE_3_3,0.21,0.15,0.34,0.24,0.22,0.29,12.0,11.0,0.59,0.55,0.54,0.55,2.0,N
UNLOCK PLACE_3_3 PLACE_3_2 KEY_1 SHAPE_1,0.25,0.14,0.27,0.2,0.2,0.27,13.0,12.0,0.54,0.55,0.62,0.58,2.0,N
MOVE PLACE_3_3 PLACE_2_3,0.14,0.15,0.29,0.2,0.2,0.27,13.0,12.0,0.58,0.5,0.65,0.54,2.0,N
MOVE PLACE_2_3 PLACE_1_3,0.19,0.15,0.29,0.27,0.25,0.31,13.0,12.0,0.54,0.45,0.58,0.5,2.0,N
