o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
PICKUP PLACE_0_0 KEY_1,0.5,0.05,0.04,1.51,6,10,0.67,N
MOVE PLACE_0_0 PLACE_1_0,0.33,0.06,0.04,1.35,6,11,0.33,N
MOVE PLACE_1_0 PLACE_2_0,0.33,0.06,0.05,1.3399999999999999,9,12,0.33,N
MOVE PLACE_2_0 PLACE_2_1,0.5,0.05,0.03,1.52,9,13,0.33,N
MOVE PLACE_2_1 PLACE_2_2,0.33,0.12,0.05,1.4,9,14,0.33,N
MOVE PLACE_2_2 PLACE_2_3,0.33,0.02,0.05,1.3,12,13,0.33,N
MOVE PLACE_2_3 PLACE_3_3,1.0,0.06,0.09,1.9700000000000002,12,13,0.33,N
UNLOCK PLACE_3_3 PLACE_3_2 KEY_1 SHAPE_1,0.5,0.06,0.09,1.4700000000000002,11,12,0.33,N
MOVE PLACE_3_3 PLACE_2_3,0.33,0.03,0.09,1.27,10,9,0.33,N
MOVE PLACE_2_3 PLACE_1_3,1.0,0.0,1.0,1.0,-1,0,0.33,N
