o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
PICKUP PLACE_0_0 KEY_0,0.33,0.04,0.04,1.33,6,10,1.0,N
PICKUP PLACE_0_0 KEY_1,0.5,0.06,0.06,1.5,5,10,0.67,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.5,0.08,0.14,1.44,4,9,0.67,N
MOVE PLACE_0_0 PLACE_1_0,0.33,0.1,0.19,1.2400000000000002,4,8,0.33,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.33,0.33,0.12,1.54,2,8,0.0,N
MOVE PLACE_1_0 PLACE_2_0,0.33,0.33,0.22,1.44,3,6,0.0,N
MOVE PLACE_2_0 PLACE_2_1,0.5,0.25,0.14,1.6099999999999999,2,5,0.0,N
MOVE PLACE_2_1 PLACE_2_2,0.33,0.33,0.19,1.4700000000000002,1,4,0.0,N
MOVE PLACE_2_2 PLACE_2_3,0.33,0.0,0.21,1.12,-1,3,0.0,N
MOVE PLACE_2_3 PLACE_3_3,1.0,0.0,0.25,1.75,-1,3,0.0,N
UNLOCK PLACE_3_3 PLACE_3_2 KEY_1 SHAPE_1,0.5,0.0,0.25,1.25,-1,2,0.0,N
MOVE PLACE_3_3 PLACE_2_3,0.33,0.0,0.33,1.0,-1,1,0.0,N
MOVE PLACE_2_3 PLACE_1_3,1.0,0.0,1.0,1.0,-1,0,0.0,N
