o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
PICKUP PLACE_0_0 KEY_1,0.5,0.05,0.04,1.51,6,10,0.67,N
MOVE PLACE_0_0 PLACE_1_0,0.33,0.06,0.04,1.35,6,11,0.33,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.33,0.15,0.07,1.41,5,10,0.0,N
MOVE PLACE_1_0 PLACE_2_0,0.33,0.12,0.09,1.36,7,10,0.0,N
MOVE PLACE_2_0 PLACE_2_1,0.5,0.06,0.05,1.51,9,11,0.0,N
MOVE PLACE_2_1 PLACE_2_2,0.33,0.17,0.13,1.37,7,12,0.0,N
MOVE PLACE_2_2 PLACE_2_3,0.33,0.08,0.14,1.27,8,9,0.0,N
MOVE PLACE_2_3 PLACE_3_3,1.0,0.14,0.27,1.87,9,10,0.0,N
UNLOCK PLACE_3_3 PLACE_3_2 KEY_1 SHAPE_1,0.5,0.14,0.27,1.37,8,9,0.0,N
MOVE PLACE_3_3 PLACE_2_3,0.33,0.12,0.21,1.24,5,6,0.0,N
MOVE PLACE_2_3 PLACE_1_3,1.0,0.0,1.0,1.0,-1,0,0.0,N
