o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
PICKUP PLACE_0_0 KEY_1,0.5,0.05,0.04,1.51,6,10,0.67,N
PICKUP PLACE_0_0 KEY_0,0.5,0.06,0.06,1.5,5,10,0.67,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.5,0.08,0.14,1.44,4,9,0.67,N
MOVE PLACE_0_0 PLACE_1_0,0.33,0.1,0.19,1.2400000000000002,4,8,0.33,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.33,0.33,0.12,1.54,2,8,0.0,N
MOVE PLACE_1_0 PLACE_2_0,0.33,0.33,0.22,1.44,3,6,0.0,N
MOVE PLACE_2_0 PLACE_3_0,0.5,0.25,0.22,1.53,4,6,0.0,N
MOVE PLACE_3_0 PLACE_3_1,0.5,0.25,0.22,1.53,5,6,0.0,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.5,0.0,0.25,1.25,-1,4,0.0,N
MOVE PLACE_3_1 PLACE_3_2,0.5,0.0,0.25,1.25,-1,3,0.0,N
MOVE PLACE_3_2 PLACE_3_3,0.5,0.0,0.25,1.25,-1,2,0.0,N
MOVE PLACE_3_3 PLACE_2_3,0.33,0.0,0.33,1.0,-1,1,0.0,N
MOVE PLACE_2_3 PLACE_1_3,1.0,0.0,1.0,1.0,-1,0,0.0,N
