o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
PICKUP PLACE_0_0 KEY_1,0.56,0.75,0.52,0.79,0.41,0.36,6.0,7.0,0.0,0.08,0.0,0.21,2.0,N
PICKUP PLACE_0_0 KEY_0,0.4,0.86,0.33,0.82,0.36,0.27,7.0,8.0,0.0,0.21,0.14,0.31,2.0,N
MOVE PLACE_0_0 PLACE_1_0,0.57,0.69,0.55,0.7,0.4,0.33,7.0,8.0,0.08,0.14,0.29,0.25,2.0,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.24,0.36,0.29,0.28,0.41,0.37,7.0,8.0,0.0,0.21,0.14,0.38,2.0,N
MOVE PLACE_1_0 PLACE_2_0,0.62,0.48,0.58,0.52,0.34,0.19,9.0,10.0,0.31,0.33,0.44,0.45,2.0,N
MOVE PLACE_2_0 PLACE_3_0,0.45,0.5,0.46,0.47,0.29,0.16,11.0,12.0,0.45,0.5,0.55,0.54,2.0,N
MOVE PLACE_3_0 PLACE_3_1,0.41,0.58,0.42,0.58,0.22,0.22,13.0,13.0,0.54,0.46,0.58,0.5,2.0,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.44,0.35,0.38,0.31,0.14,0.25,14.0,13.0,0.65,0.5,0.71,0.58,2.0,N
MOVE PLACE_3_1 PLACE_3_2,0.25,0.13,0.3,0.16,0.24,0.25,14.0,13.0,0.54,0.54,0.61,0.62,2.0,N
MOVE PLACE_3_2 PLACE_3_3,0.24,0.13,0.27,0.16,0.24,0.25,14.0,13.0,0.58,0.58,0.64,0.62,2.0,N
MOVE PLACE_3_3 PLACE_2_3,0.24,0.25,0.29,0.16,0.24,0.25,14.0,13.0,0.62,0.46,0.68,0.54,2.0,N
MOVE PLACE_2_3 PLACE_1_3,0.22,0.24,0.21,0.22,0.24,0.33,14.0,13.0,0.5,0.5,0.57,0.54,2.0,N
