o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
PICKUP PLACE_0_0 KEY_0,0.73,0.33,0.82,0.31,0.3,0.36,7.0,7.0,0.0,0.08,0.21,0.21,2.0,N
PICKUP PLACE_0_0 KEY_1,0.4,0.86,0.33,0.82,0.36,0.27,7.0,8.0,0.0,0.21,0.14,0.31,2.0,N
MOVE PLACE_0_0 PLACE_1_0,0.57,0.69,0.55,0.7,0.4,0.33,7.0,8.0,0.08,0.14,0.29,0.25,2.0,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.24,0.36,0.29,0.28,0.41,0.37,7.0,8.0,0.0,0.21,0.14,0.38,2.0,N
MOVE PLACE_1_0 PLACE_2_0,0.62,0.48,0.58,0.52,0.34,0.19,9.0,10.0,0.31,0.33,0.44,0.45,2.0,N
MOVE PLACE_2_0 PLACE_2_1,0.33,0.31,0.28,0.33,0.34,0.31,9.0,10.0,0.38,0.44,0.5,0.55,2.0,N
MOVE PLACE_2_1 PLACE_2_2,0.33,0.33,0.32,0.42,0.34,0.31,9.0,10.0,0.19,0.44,0.33,0.55,2.0,N
MOVE PLACE_2_2 PLACE_2_3,0.29,0.28,0.38,0.22,0.29,0.31,11.0,10.0,0.5,0.39,0.59,0.45,2.0,N
MOVE PLACE_2_3 PLACE_3_3,0.2,0.14,0.27,0.2,0.21,0.27,13.0,12.0,0.58,0.55,0.65,0.5,2.0,N
UNLOCK PLACE_3_3 PLACE_3_2 KEY_1 SHAPE_1,0.24,0.13,0.29,0.17,0.24,0.25,14.0,13.0,0.58,0.58,0.64,0.62,2.0,N
MOVE PLACE_3_3 PLACE_2_3,0.24,0.13,0.31,0.17,0.24,0.25,14.0,13.0,0.62,0.46,0.68,0.54,2.0,N
MOVE PLACE_2_3 PLACE_1_3,0.12,0.19,0.23,0.24,0.24,0.33,14.0,13.0,0.5,0.5,0.57,0.54,2.0,N
