o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
PICKUP PLACE_0_0 KEY_1,0.5,0.05,0.04,1.51,6,10,0.67,N
PICKUP PLACE_0_0 KEY_0,0.5,0.06,0.06,1.5,5,10,0.67,N
MOVE PLACE_0_0 PLACE_1_0,0.33,0.08,0.06,1.35,5,10,0.33,N
MOVE PLACE_1_0 PLACE_2_0,0.33,0.08,0.08,1.33,8,11,0.33,N
MOVE PLACE_2_0 PLACE_3_0,0.5,0.07,0.08,1.4900000000000002,8,9,0.33,N
MOVE PLACE_3_0 PLACE_3_1,0.5,0.07,0.08,1.4900000000000002,8,9,0.33,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.5,0.13,0.16,1.47,8,8,0.33,N
MOVE PLACE_3_1 PLACE_3_2,0.5,0.06,0.12,1.44,8,8,0.33,N
MOVE PLACE_3_2 PLACE_3_3,0.5,0.09,0.17,1.42,10,10,0.33,N
MOVE PLACE_3_3 PLACE_2_3,0.33,0.06,0.12,1.27,8,8,0.33,N
MOVE PLACE_2_3 PLACE_1_3,1.0,0.0,1.0,1.0,-1,0,0.33,N
