o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
PICKUP PLACE_0_0 KEY_1,0.5,0.05,0.04,1.51,6,10,0.67,N
PICKUP PLACE_0_0 KEY_0,0.5,0.06,0.06,1.5,5,10,0.67,N
MOVE PLACE_0_0 PLACE_1_0,0.33,0.08,0.06,1.35,5,10,0.33,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.33,0.21,0.11,1.4300000000000002,4,9,0.0,N
MOVE PLACE_1_0 PLACE_2_0,0.33,0.18,0.13,1.38,6,9,0.0,N
MOVE PLACE_2_0 PLACE_2_1,0.5,0.1,0.08,1.52,7,10,0.0,N
MOVE PLACE_2_1 PLACE_2_2,0.33,0.19,0.23,1.29,6,11,0.0,N
MOVE PLACE_2_2 PLACE_2_3,0.33,0.09,0.2,1.2200000000000002,7,9,0.0,N
MOVE PLACE_2_3 PLACE_3_3,1.0,0.17,0.46,1.71,8,9,0.0,N
UNLOCK PLACE_3_3 PLACE_3_2 KEY_1 SHAPE_1,0.5,0.17,0.46,1.21,7,8,0.0,N
MOVE PLACE_3_3 PLACE_2_3,0.33,0.13,0.26,1.2,5,6,0.0,N
MOVE PLACE_2_3 PLACE_1_3,1.0,0.0,1.0,1.0,-1,0,0.0,N
