o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
PICKUP PLACE_0_0 KEY_0,0.33,0.04,0.04,1.33,6,10,1.0,N
PICKUP PLACE_0_0 KEY_1,0.5,0.06,0.06,1.5,5,10,0.67,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.5,0.08,0.14,1.44,4,9,0.67,N
MOVE PLACE_0_0 PLACE_1_0,0.33,0.1,0.19,1.2400000000000002,4,8,0.33,N
MOVE PLACE_1_0 PLACE_2_0,0.33,0.12,0.13,1.32,6,8,0.33,N
MOVE PLACE_2_0 PLACE_3_0,0.5,0.11,0.12,1.49,6,6,0.33,N
MOVE PLACE_3_0 PLACE_3_1,0.5,0.11,0.12,1.49,6,6,0.33,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.5,0.21,0.25,1.46,6,4,0.33,N
MOVE PLACE_3_1 PLACE_3_2,0.5,0.12,0.25,1.37,4,3,0.33,N
MOVE PLACE_3_2 PLACE_3_3,0.5,0.12,0.25,1.37,3,2,0.33,N
MOVE PLACE_3_3 PLACE_2_3,0.33,0.17,0.33,1.17,2,1,0.33,N
MOVE PLACE_2_3 PLACE_1_3,1.0,0.0,1.0,1.0,-1,0,0.33,N
