o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
SAIL L4 L2,0.43,0.18,0.37,0.2,0.43,0.28,5.0,10.0,0.12,0.11,0.4,0.45,0.75,N
SAIL L2 L1,0.33,0.18,0.27,0.2,0.45,0.3,5.0,10.0,0.12,0.17,0.4,0.45,0.5,N
BOARD C2 L1,0.29,0.18,0.26,0.2,0.35,0.21,7.0,10.0,0.33,0.28,0.36,0.5,0.5,N
SAIL L1 L2,0.36,0.09,0.28,0.19,0.26,0.19,9.0,11.0,0.44,0.7,0.56,0.82,0.75,N
SAIL L2 L4,0.18,0.09,0.3,0.19,0.23,0.19,10.0,11.0,0.5,0.7,0.6,0.82,0.5,N
DEBARK C2 L4,0.18,0.09,0.16,0.19,0.25,0.19,10.0,11.0,0.61,0.7,0.55,0.82,0.5,N
SAIL L4 L2,0.23,0.15,0.15,0.1,0.23,0.18,11.0,12.0,0.6,0.68,0.59,0.75,0.75,N
SAIL L2 L1,0.17,0.15,0.15,0.14,0.24,0.18,11.0,12.0,0.65,0.68,0.73,0.75,0.5,N
BOARD C1 L1,0.17,0.08,0.15,0.14,0.24,0.18,11.0,12.0,0.55,0.68,0.64,0.75,0.75,N
SAIL L1 L4,0.15,0.07,0.14,0.13,0.22,0.17,12.0,13.0,0.59,0.71,0.67,0.77,0.75,N
SAIL L4 L2,0.0,0.07,0.18,0.12,0.27,0.16,12.0,14.0,0.55,0.73,0.58,0.79,1.0,Y
SAIL L2 L3,0.07,0.07,0.21,0.12,0.2,0.19,12.0,14.0,0.65,0.77,0.71,0.79,0.75,N
DEBARK C1 L3,0.06,0.07,0.11,0.12,0.17,0.19,12.0,14.0,0.77,0.69,0.81,0.71,0.5,N
