o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
SAIL L4 L1,0.5,0.2,0.44,0.21,0.52,0.33,4.0,9.0,0.0,0.19,0.25,0.39,0.5,N
BOARD C2 L1,0.38,0.2,0.33,0.14,0.39,0.23,6.0,9.0,0.2,0.19,0.25,0.44,0.5,N
SAIL L1 L3,0.33,0.18,0.33,0.11,0.29,0.21,8.0,10.0,0.36,0.44,0.5,0.5,0.5,N
SAIL L3 L4,0.33,0.18,0.32,0.11,0.26,0.21,9.0,10.0,0.44,0.67,0.56,0.8,0.5,N
DEBARK C2 L4,0.27,0.18,0.28,0.11,0.28,0.21,9.0,10.0,0.56,0.67,0.5,0.8,0.5,N
SAIL L4 L2,0.09,0.17,0.24,0.1,0.25,0.19,10.0,11.0,0.56,0.65,0.55,0.73,0.75,N
SAIL L2 L1,0.09,0.08,0.16,0.1,0.26,0.2,10.0,11.0,0.61,0.65,0.7,0.73,0.5,N
BOARD C1 L1,0.09,0.08,0.25,0.1,0.26,0.2,10.0,11.0,0.5,0.65,0.6,0.73,0.75,N
SAIL L1 L4,0.15,0.0,0.15,0.14,0.24,0.18,11.0,12.0,0.55,0.68,0.64,0.75,0.75,N
SAIL L4 L2,0.15,0.0,0.19,0.13,0.29,0.17,11.0,13.0,0.5,0.71,0.55,0.77,1.0,Y
SAIL L2 L3,0.04,0.0,0.22,0.13,0.21,0.2,11.0,13.0,0.62,0.75,0.69,0.77,0.75,N
DEBARK C1 L3,0.0,0.0,0.11,0.13,0.18,0.2,11.0,13.0,0.75,0.67,0.8,0.69,0.5,N
