o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
SAIL L4 L2,0.43,0.18,0.37,0.2,0.43,0.28,5.0,10.0,0.12,0.11,0.4,0.45,0.75,N
SAIL L2 L1,0.33,0.18,0.27,0.2,0.45,0.3,5.0,10.0,0.12,0.17,0.4,0.45,0.5,N
BOARD C2 L1,0.29,0.18,0.26,0.2,0.35,0.21,7.0,10.0,0.33,0.28,0.36,0.5,0.5,N
SAIL L1 L4,0.2,0.1,0.32,0.2,0.26,0.21,9.0,10.0,0.44,0.67,0.56,0.8,0.5,N
DEBARK C2 L4,0.1,0.1,0.25,0.2,0.28,0.21,9.0,10.0,0.56,0.67,0.5,0.8,0.5,N
SAIL L4 L2,0.18,0.17,0.21,0.1,0.25,0.19,10.0,11.0,0.56,0.65,0.55,0.73,0.75,N
SAIL L2 L1,0.09,0.09,0.16,0.14,0.26,0.2,10.0,11.0,0.61,0.65,0.7,0.73,0.5,N
BOARD C1 L1,0.13,0.13,0.25,0.14,0.26,0.2,10.0,11.0,0.5,0.65,0.6,0.73,0.75,N
SAIL L1 L4,0.23,0.08,0.15,0.14,0.24,0.18,11.0,12.0,0.55,0.68,0.64,0.75,0.75,N
SAIL L4 L2,0.15,0.08,0.19,0.13,0.29,0.17,11.0,13.0,0.5,0.71,0.55,0.77,1.0,Y
SAIL L2 L3,0.14,0.07,0.22,0.13,0.21,0.2,11.0,13.0,0.62,0.75,0.69,0.77,0.75,N
DEBARK C1 L3,0.06,0.07,0.11,0.13,0.18,0.2,11.0,13.0,0.75,0.67,0.8,0.69,0.5,N
