o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
SAIL L4 L2,0.5,0.01,0.01,1.5,9,10,0.5,N
SAIL L2 L1,0.33,0.02,0.02,1.33,8,9,0.5,N
BOARD C2 L1,0.33,0.02,0.0,1.35,6,21,0.33,N
SAIL L1 L4,0.33,0.04,0.01,1.3599999999999999,7,10,0.33,N
DEBARK C2 L4,0.33,0.01,0.0,1.34,12,17,0.5,N
SAIL L4 L1,0.33,0.02,0.0,1.35,10,16,0.5,N
BOARD C1 L1,0.33,0.05,0.01,1.37,9,15,0.33,N
SAIL L1 L4,0.33,0.21,0.01,1.53,6,14,0.33,N
SAIL L4 L2,0.5,1.0,0.0,2.5,0,-1,0.33,Y
SAIL L2 L3,1.0,0.0,1.0,1.0,-1,1,0.17,N
DEBARK C1 L3,1.0,0.0,1.0,1.0,-1,0,0.17,N
