o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
SAIL L4 L1,0.25,0.02,0.01,1.26,8,9,0.5,N
BOARD C2 L1,0.33,0.02,0.0,1.35,6,21,0.33,N
SAIL L1 L2,0.33,0.02,0.0,1.35,5,20,0.33,N
SAIL L2 L3,0.5,0.06,0.01,1.55,5,10,0.17,N
SAIL L3 L4,1.0,0.11,0.0,2.1100000000000003,5,19,0.33,N
DEBARK C2 L4,0.33,0.11,0.0,1.44,4,18,0.5,N
SAIL L4 L1,0.33,0.15,0.0,1.48,3,17,0.5,N
BOARD C1 L1,0.33,0.44,0.01,1.76,2,16,0.33,N
SAIL L1 L2,0.33,1.0,0.0,2.33,0,-1,0.33,Y
SAIL L2 L3,0.5,0.01,0.02,1.49,10,15,0.17,N
DEBARK C1 L3,1.0,0.0,1.0,1.0,-1,0,0.17,N
