o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
SAIL L4 L2,0.5,0.0,0.0,1.5,8,9,0.5,N
SAIL L2 L1,0.33,0.0,0.0,1.33,7,8,0.5,N
BOARD C1 L1,0.33,0.05,0.01,1.37,7,13,0.33,N
SAIL L1 L3,0.33,0.03,0.02,1.3399999999999999,5,6,0.17,N
DEBARK C1 L3,0.33,0.08,0.06,1.35,4,5,0.33,N
SAIL L3 L2,0.5,0.08,0.06,1.52,3,4,0.5,N
SAIL L2 L1,0.5,0.17,0.11,1.56,2,3,0.5,N
BOARD C2 L1,0.33,0.33,0.22,1.44,1,2,0.33,N
SAIL L1 L2,0.33,1.0,0.0,2.33,0,-1,0.33,Y
SAIL L2 L3,0.5,0.0,0.5,1.0,-1,1,0.17,N
DEBARK C2 L3,1.0,0.0,1.0,1.0,-1,0,0.17,N
