ob,c,r,d,fo,0.0<=x<0.0,0.0<=x<0.1,0.1<=x<0.2,0.2<=x<0.3,0.3<=x<0.4,0.4<=x<0.5,0.5<=x<0.6,0.6<=x<0.7,0.7<=x<0.8,0.8<=x<0.9,0.9<=x<1.0,1.0<=x<1.1,dToCritical,dToDesirable,hasLM,Label
PICK-UP A,0.33,0.08,0.07,1.3399999999999999,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,3,5,0.4,N
STACK A W,0.5,0.25,0.11,1.6400000000000001,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,2,9,0.5,N
PICK-UP D,0.5,0.0,0.25,1.25,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,15,8,0.4,N
STACK D A,1.0,0.0,1.0,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0,-1,0,0.4,N
PICK-UP R,1.0,0.0,1.0,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0,-1,0,0.2,N
PICK-UP A,0.33,0.08,0.07,1.3399999999999999,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,3,5,0.4,N
STACK A W,0.5,0.25,0.11,1.6400000000000001,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,2,9,0.5,N
PICK-UP R,0.5,0.5,0.0,2.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,1,14,0.3,N
STACK R A,1.0,1.0,0.0,3.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0,-1,0.4,Y
PICK-UP D,1.0,1.0,0.0,3.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0,-1,0.3,Y
STACK D R,1.0,1.0,0.0,3.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0,-1,0.3,Y
PICK-UP A,0.33,0.08,0.07,1.3399999999999999,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,3,5,0.4,N
STACK A W,0.5,0.25,0.11,1.6400000000000001,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,2,9,0.5,N
PICK-UP D,0.5,0.0,0.25,1.25,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,15,8,0.4,N
STACK D A,1.0,0.0,1.0,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0,-1,0,0.4,N
PICK-UP R,0.33,0.08,0.02,1.3900000000000001,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,5,9,0.4,N
STACK R W,0.5,0.01,0.06,1.45,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,8,8,0.4,N
PICK-UP A,0.5,0.02,0.12,1.4,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,7,7,0.2,N
STACK A R,1.0,0.0,1.0,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0,-1,2,0.2,N
PICK-UP D,1.0,0.0,1.0,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0,-1,1,0.1,N
STACK D A,1.0,0.0,1.0,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0,-1,0,0.1,N
PICK-UP W,0.33,0.04,0.04,1.33,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,9,9,0.4,N
STACK W R,0.5,0.01,0.06,1.45,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,8,8,0.5,N
PICK-UP A,0.5,0.02,0.12,1.4,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,7,7,0.3,N
STACK A W,1.0,0.0,1.0,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0,-1,2,0.4,N
PICK-UP D,1.0,0.0,1.0,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0,-1,1,0.3,N
STACK D A,1.0,0.0,1.0,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0,-1,0,0.3,N
PICK-UP A,0.33,0.08,0.07,1.3399999999999999,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,3,5,0.4,N
STACK A W,0.5,0.25,0.11,1.6400000000000001,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,2,9,0.5,N
PICK-UP D,0.5,0.0,0.25,1.25,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,15,8,0.4,N
STACK D A,1.0,0.0,1.0,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0,-1,0,0.4,N
PICK-UP R,1.0,0.0,1.0,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0,-1,0,0.2,N
STACK R D,1.0,0.0,1.0,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0,-1,0,0.3,N
