o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
PICKUP PLACE_0_0 KEY_1,0.5,0.1,0.07,1.5299999999999998,4,7,1.0,N
PICKUP PLACE_0_0 KEY_0,0.5,0.12,0.12,1.5,3,6,1.0,N
MOVE PLACE_0_0 PLACE_1_0,0.33,0.13,0.1,1.36,4,7,0.0,N
MOVE PLACE_1_0 PLACE_2_0,0.33,1.0,0.0,2.33,0,-1,0.0,Y
MOVE PLACE_2_0 PLACE_3_0,0.5,0.4,0.25,1.65,3,5,0.0,N
MOVE PLACE_3_0 PLACE_3_1,0.5,0.38,0.25,1.63,3,4,0.0,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.5,0.5,0.5,1.5,2,3,0.0,N
MOVE PLACE_3_1 PLACE_3_2,0.5,0.5,0.5,1.5,3,2,0.0,N
MOVE PLACE_3_2 PLACE_3_3,1.0,0.0,1.0,1.0,-1,1,0.0,N
MOVE PLACE_3_3 PLACE_2_3,1.0,0.0,1.0,1.0,-1,0,0.0,N
