o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
PICKUP PLACE_0_0 KEY_0,0.33,0.33,0.56,0.38,0.57,0.37,4.0,7.0,0.0,0.08,0.0,0.21,2.0,N
PICKUP PLACE_0_0 KEY_1,0.29,0.3,0.44,0.39,0.5,0.33,5.0,8.0,0.0,0.21,0.0,0.31,2.0,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.33,0.73,0.35,0.68,0.44,0.28,6.0,9.0,0.0,0.31,0.08,0.39,2.0,N
MOVE PLACE_0_0 PLACE_1_0,0.31,0.3,0.38,0.28,0.45,0.3,6.0,9.0,0.0,0.25,0.08,0.39,2.0,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.36,0.57,0.32,0.5,0.4,0.29,7.0,10.0,0.0,0.33,0.14,0.45,2.0,N
MOVE PLACE_1_0 PLACE_2_0,0.36,0.17,0.33,0.2,0.5,0.31,7.0,10.0,0.0,0.39,0.14,0.5,1.0,Y
MOVE PLACE_2_0 PLACE_3_0,0.17,0.27,0.26,0.2,0.39,0.27,7.0,12.0,0.25,0.5,0.33,0.58,2.0,N
MOVE PLACE_3_0 PLACE_3_1,0.0,0.25,0.24,0.18,0.29,0.25,7.0,13.0,0.4,0.54,0.45,0.62,2.0,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.13,0.13,0.21,0.18,0.27,0.25,7.0,13.0,0.41,0.54,0.5,0.62,2.0,N
MOVE PLACE_3_1 PLACE_3_2,0.0,0.14,0.18,0.18,0.24,0.25,7.0,13.0,0.58,0.5,0.64,0.54,2.0,N
MOVE PLACE_3_2 PLACE_3_3,0.3,0.24,0.29,0.21,0.21,0.33,7.0,13.0,0.6,0.46,0.66,0.54,2.0,N
MOVE PLACE_3_3 PLACE_2_3,0.21,0.24,0.23,0.21,0.21,0.33,7.0,13.0,0.63,0.5,0.69,0.54,2.0,N
