o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
PICKUP PLACE_0_0 KEY_1,0.5,0.03,0.14,1.3900000000000001,10,8,0.67,N
PICKUP PLACE_0_0 KEY_0,0.5,0.04,0.17,1.37,9,6,0.67,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.5,0.03,0.29,1.24,10,5,0.67,N
MOVE PLACE_0_0 PLACE_1_0,0.33,0.08,0.25,1.1600000000000001,7,5,0.33,N
MOVE PLACE_1_0 PLACE_2_0,0.33,0.18,0.23,1.28,8,8,0.33,N
MOVE PLACE_2_0 PLACE_3_0,0.5,0.14,0.18,1.46,7,8,0.33,N
MOVE PLACE_3_0 PLACE_3_1,0.5,0.14,0.18,1.46,7,8,0.33,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.5,0.31,0.42,1.3900000000000001,6,8,0.33,N
MOVE PLACE_3_1 PLACE_3_2,0.5,0.21,0.0,1.71,4,-1,0.33,N
MOVE PLACE_3_2 PLACE_3_3,0.5,0.21,0.0,1.71,3,-1,0.33,N
MOVE PLACE_3_3 PLACE_2_3,0.33,0.28,0.0,1.61,2,-1,0.33,N
MOVE PLACE_2_3 PLACE_1_3,0.33,1.0,0.0,2.33,0,-1,0.33,Y
MOVE PLACE_1_3 PLACE_0_3,1.0,0.0,1.0,1.0,-1,0,0.33,N
