o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
PICKUP PLACE_0_0 KEY_1,0.5,0.03,0.14,1.3900000000000001,10,8,0.67,N
PICKUP PLACE_0_0 KEY_0,0.5,0.04,0.17,1.37,9,6,0.67,N
MOVE PLACE_0_0 PLACE_1_0,0.33,0.06,0.06,1.33,9,10,0.33,N
MOVE PLACE_1_0 PLACE_2_0,0.33,0.18,0.04,1.47,8,9,0.33,N
MOVE PLACE_2_0 PLACE_2_1,0.5,0.1,0.03,1.5699999999999998,5,10,0.33,N
MOVE PLACE_2_1 PLACE_2_2,0.33,0.12,0.05,1.4,5,13,0.33,N
MOVE PLACE_2_2 PLACE_1_2,0.5,0.34,0.08,1.7600000000000002,4,12,0.33,N
UNLOCK PLACE_1_2 PLACE_1_1 KEY_1 SHAPE_1,0.5,0.35,0.16,1.69,5,11,0.0,N
MOVE PLACE_1_2 PLACE_1_3,0.33,1.0,0.0,2.33,0,-1,0.0,Y
MOVE PLACE_1_3 PLACE_0_3,1.0,0.0,1.0,1.0,-1,0,0.0,N
