o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
PICKUP PLACE_0_0 KEY_0,0.33,0.02,0.09,1.26,10,7,1.0,N
PICKUP PLACE_0_0 KEY_1,0.5,0.04,0.17,1.37,9,6,0.67,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.5,0.03,0.29,1.24,10,5,0.67,N
MOVE PLACE_0_0 PLACE_1_0,0.33,0.08,0.25,1.1600000000000001,7,5,0.33,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.33,0.27,0.5,1.1,6,4,0.0,N
MOVE PLACE_1_0 PLACE_2_0,0.33,0.3,0.58,1.05,6,5,0.0,N
MOVE PLACE_2_0 PLACE_2_1,0.5,0.18,0.0,1.68,4,-1,0.0,N
MOVE PLACE_2_1 PLACE_2_2,0.33,0.24,0.0,1.57,3,-1,0.0,N
MOVE PLACE_2_2 PLACE_2_3,0.33,0.21,0.0,1.54,3,-1,0.0,N
MOVE PLACE_2_3 PLACE_3_3,1.0,0.25,0.0,2.25,3,-1,0.0,N
UNLOCK PLACE_3_3 PLACE_3_2 KEY_1 SHAPE_1,0.5,0.25,0.0,1.75,2,-1,0.0,N
MOVE PLACE_3_3 PLACE_2_3,0.33,0.33,0.0,1.6600000000000001,1,-1,0.0,N
MOVE PLACE_2_3 PLACE_1_3,0.33,1.0,0.0,2.33,0,-1,0.0,Y
MOVE PLACE_1_3 PLACE_0_3,1.0,0.0,1.0,1.0,-1,0,0.0,N
