o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
PICKUP PLACE_0_0 KEY_1,0.5,0.03,0.14,1.3900000000000001,10,8,0.67,N
PICKUP PLACE_0_0 KEY_0,0.5,0.04,0.17,1.37,9,6,0.67,N
MOVE PLACE_0_0 PLACE_1_0,0.33,0.06,0.06,1.33,9,10,0.33,N
MOVE PLACE_1_0 PLACE_2_0,0.33,0.18,0.04,1.47,8,9,0.33,N
MOVE PLACE_2_0 PLACE_3_0,0.5,0.14,0.04,1.6,7,9,0.33,N
MOVE PLACE_3_0 PLACE_3_1,0.5,0.14,0.04,1.6,7,9,0.33,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.5,0.31,0.08,1.73,6,9,0.33,N
MOVE PLACE_3_1 PLACE_3_2,0.5,0.21,0.04,1.67,4,10,0.33,N
MOVE PLACE_3_2 PLACE_3_3,0.5,0.21,0.12,1.5899999999999999,3,11,0.33,N
MOVE PLACE_3_3 PLACE_2_3,0.33,0.28,0.02,1.59,2,10,0.33,N
MOVE PLACE_2_3 PLACE_1_3,0.33,1.0,0.0,2.33,0,-1,0.33,Y
MOVE PLACE_1_3 PLACE_0_3,1.0,0.0,1.0,1.0,-1,0,0.33,N
