o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
PICKUP PLACE_0_0 KEY_1,0.5,0.03,0.14,1.3900000000000001,10,8,0.67,N
MOVE PLACE_0_0 PLACE_1_0,0.33,0.04,0.03,1.3399999999999999,10,11,0.33,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.33,0.13,0.05,1.41,8,10,0.0,N
MOVE PLACE_1_0 PLACE_2_0,0.33,0.17,0.03,1.47,8,10,0.0,N
MOVE PLACE_2_0 PLACE_2_1,0.5,0.08,0.02,1.56,9,11,0.0,N
MOVE PLACE_2_1 PLACE_2_2,0.33,0.14,0.08,1.3900000000000001,10,13,0.0,N
MOVE PLACE_2_2 PLACE_2_3,0.33,0.16,0.08,1.4100000000000001,7,12,0.0,N
MOVE PLACE_2_3 PLACE_3_3,1.0,0.23,0.19,2.04,7,12,0.0,N
UNLOCK PLACE_3_3 PLACE_3_2 KEY_1 SHAPE_1,0.5,0.23,0.22,1.51,7,11,0.0,N
MOVE PLACE_3_3 PLACE_2_3,0.33,0.24,0.1,1.4700000000000002,5,10,0.0,N
MOVE PLACE_2_3 PLACE_1_3,0.33,1.0,0.0,2.33,0,-1,0.0,Y
MOVE PLACE_1_3 PLACE_0_3,1.0,0.0,1.0,1.0,-1,0,0.0,N
