o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
PICKUP PLACE_0_0 KEY_1,0.75,0.79,0.79,0.74,0.36,0.4,7.0,7.0,0.08,0.0,0.21,0.07,2.0,N
MOVE PLACE_0_0 PLACE_1_0,0.71,0.69,0.7,0.74,0.36,0.33,7.0,8.0,0.08,0.21,0.14,0.19,2.0,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.4,0.5,0.31,0.58,0.41,0.38,7.0,8.0,0.08,0.14,0.21,0.25,2.0,N
MOVE PLACE_1_0 PLACE_2_0,0.52,0.57,0.58,0.55,0.21,0.2,9.0,10.0,0.25,0.33,0.39,0.4,2.0,N
MOVE PLACE_2_0 PLACE_3_0,0.53,0.5,0.51,0.49,0.18,0.17,11.0,12.0,0.45,0.5,0.5,0.5,2.0,N
MOVE PLACE_3_0 PLACE_3_1,0.61,0.58,0.62,0.6,0.24,0.23,12.0,13.0,0.41,0.5,0.46,0.54,2.0,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.38,0.31,0.33,0.31,0.27,0.25,12.0,13.0,0.45,0.46,0.54,0.5,2.0,N
MOVE PLACE_3_1 PLACE_3_2,0.14,0.13,0.17,0.18,0.27,0.25,12.0,13.0,0.5,0.54,0.58,0.62,2.0,N
MOVE PLACE_3_2 PLACE_3_3,0.14,0.13,0.17,0.17,0.27,0.25,12.0,13.0,0.45,0.62,0.5,0.69,2.0,N
MOVE PLACE_3_3 PLACE_2_3,0.27,0.13,0.17,0.17,0.27,0.25,12.0,13.0,0.41,0.5,0.5,0.54,2.0,N
MOVE PLACE_2_3 PLACE_1_3,0.25,0.13,0.24,0.23,0.35,0.34,12.0,13.0,0.45,0.5,0.5,0.54,1.0,Y
MOVE PLACE_1_3 PLACE_0_3,0.12,0.12,0.22,0.23,0.32,0.33,12.0,13.0,0.54,0.33,0.57,0.38,2.0,N
